category_id,category_name,href,landing_page_exists,counting_mode,explicit_subcategories,hub_live_tools,direct_live_tools,subcategory_preview,total_entries,english_entries,english_instances,live_entries,french_entries,swahili_entries
agriculture,Agriculture,/agriculture/,yes,flat-registry,0,0,486,,486,447,639,486,0,33
financial,"Salary, Tax & Crypto",/salary-tax/,yes,explicit-hubs+direct,8,151,177,Business & Capital Tax (11) | Crypto Suite (16) | Afrique francophone (25) | Currency & FX (6) | PAYE Calculators (58) | Payroll & HR (14),327,129,129,327,107,90
ecommerce,VAT & Business Tax,/vat-business-tax/,yes,flat-registry,0,0,232,,234,63,62,232,9,160
legal,Mortgage & Property,/mortgage-property/,yes,flat-registry,0,0,123,,123,67,245,123,24,32
document-pdf,Document & PDF,/document-pdf/,yes,flat-registry,0,0,98,,98,32,32,98,25,35
education,Education,/education/,yes,flat-registry,0,0,93,,93,42,42,93,24,22
african,Uniquely African,/uniquely-african/,yes,flat-registry,0,0,92,,92,35,50,92,2,55
health,Health & Wellness,/health/,yes,flat-registry,0,0,72,,75,42,42,72,15,11
image-design,Image & Design,/image-design/,yes,flat-registry,0,0,49,,49,19,19,49,9,21
trade,Trade & Import,/trade/,yes,flat-registry,0,0,48,,48,22,22,48,14,12
developer,Developer Tools,/developer-tools/,yes,flat-registry,0,0,47,,47,32,32,47,15,0
creative,Creative Economy,/creative/,yes,flat-registry,0,0,46,,46,46,46,46,0,0
fintech,Fintech & Banking,/fintech/,yes,flat-registry,0,0,44,,44,31,31,44,3,10
energy,Energy & Utilities,/energy/,yes,flat-registry,0,0,44,,44,20,287,44,6,18
hr-payroll,HR & Payroll,/hr-payroll/,yes,flat-registry,0,0,38,,38,6,291,38,0,32
small-business,Small Business & SME,/small-business/,yes,flat-registry,0,0,37,,37,28,43,37,5,4
engineering,Engineering & Construction,/engineering/,yes,flat-registry,0,0,31,,36,26,26,31,2,8
telecom,Telecom & Mobile,/telecom/,yes,flat-registry,0,0,36,,36,14,14,36,8,11
insurance,Insurance,/insurance/,yes,flat-registry,0,0,30,,30,16,322,30,1,13
transport,Transport & Logistics,/transport/,yes,flat-registry,0,0,29,,29,19,19,29,1,9
government,Government & Civic,/government/,yes,flat-registry,0,0,28,,28,14,122,28,0,14
data-productivity,Business & ROI,/business-roi/,yes,flat-registry,0,0,27,,27,12,12,27,13,2
religious-cultural,Religious & Cultural,/religious-cultural/,yes,flat-registry,0,0,25,,25,20,20,25,0,5
personal-finance,Personal Finance,/personal-finance/,yes,flat-registry,0,0,22,,22,5,5,22,2,15
climate,Climate & Environment,/climate/,yes,flat-registry,0,0,19,,19,13,16,19,0,6
sports,Sports & Entertainment,/sports/,yes,flat-registry,0,0,15,,15,15,15,15,0,0
travel-tourism,Travel & Tourism,/travel/,yes,flat-registry,0,0,14,,14,9,9,14,4,1
language,Language & Translation,/language/,yes,flat-registry,0,0,11,,12,11,11,11,0,0
career,Career & Development,/career/,yes,flat-registry,0,0,9,,9,4,4,9,5,0
security,Security & Safety,/security/,yes,flat-registry,0,0,8,,8,7,7,8,1,0
diaspora,Diaspora,/diaspora/,yes,flat-registry,0,0,3,,3,2,2,3,0,1
mining,Mining & Extractives,/mining/,yes,flat-registry,0,0,0,,0,0,0,0,0,0
