route,file_route,type,language,top_level,second_level,internal,public,file_path
/404.html,/404.html,site-page,base,404.html,,no,yes,404.html
/about/,/about/index.html,site-page,base,about,,no,yes,about/index.html
/admin/alerts.html,/admin/alerts.html,internal,base,admin,alerts.html,yes,no,admin/alerts.html
/admin/car-import-cost-rules.html,/admin/car-import-cost-rules.html,internal,base,admin,car-import-cost-rules.html,yes,no,admin/car-import-cost-rules.html
/admin/car-price-intelligence.html,/admin/car-price-intelligence.html,internal,base,admin,car-price-intelligence.html,yes,no,admin/car-price-intelligence.html
/admin/cocoa-prices.html,/admin/cocoa-prices.html,internal,base,admin,cocoa-prices.html,yes,no,admin/cocoa-prices.html
/admin/coffee-prices.html,/admin/coffee-prices.html,internal,base,admin,coffee-prices.html,yes,no,admin/coffee-prices.html
/admin/commodity-prices.html,/admin/commodity-prices.html,internal,base,admin,commodity-prices.html,yes,no,admin/commodity-prices.html
/admin/conflict.html,/admin/conflict.html,internal,base,admin,conflict.html,yes,no,admin/conflict.html
/admin/dashboard.html,/admin/dashboard.html,internal,base,admin,dashboard.html,yes,no,admin/dashboard.html
/admin/fuel.html,/admin/fuel.html,internal,base,admin,fuel.html,yes,no,admin/fuel.html
/admin/input-prices.html,/admin/input-prices.html,internal,base,admin,input-prices.html,yes,no,admin/input-prices.html
/admin/remittance.html,/admin/remittance.html,internal,base,admin,remittance.html,yes,no,admin/remittance.html
/admin/wages.html,/admin/wages.html,internal,base,admin,wages.html,yes,no,admin/wages.html
/advertise/,/advertise/index.html,site-page,base,advertise,,no,yes,advertise/index.html
/african/,/african/index.html,site-page,base,african,,no,yes,african/index.html
/afrotools-mission-control.html,/afrotools-mission-control.html,internal,base,afrotools-mission-control.html,,yes,no,afrotools-mission-control.html
/afrowork/api/,/afrowork/api/index.html,site-page,base,afrowork,api,no,yes,afrowork/api/index.html
/afrowork/,/afrowork/index.html,site-page,base,afrowork,,no,yes,afrowork/index.html
/afrowork/whatsapp/,/afrowork/whatsapp/index.html,site-page,base,afrowork,whatsapp,no,yes,afrowork/whatsapp/index.html
/agriculture/cassava-processing/angola.html,/agriculture/cassava-processing/angola.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/angola.html
/agriculture/cassava-processing/benin.html,/agriculture/cassava-processing/benin.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/benin.html
/agriculture/cassava-processing/cameroon.html,/agriculture/cassava-processing/cameroon.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/cameroon.html
/agriculture/cassava-processing/cote-d-ivoire.html,/agriculture/cassava-processing/cote-d-ivoire.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/cote-d-ivoire.html
/agriculture/cassava-processing/dr-congo.html,/agriculture/cassava-processing/dr-congo.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/dr-congo.html
/agriculture/cassava-processing/ghana.html,/agriculture/cassava-processing/ghana.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/ghana.html
/agriculture/cassava-processing/guinea.html,/agriculture/cassava-processing/guinea.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/guinea.html
/agriculture/cassava-processing/,/agriculture/cassava-processing/index.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/index.html
/agriculture/cassava-processing/madagascar.html,/agriculture/cassava-processing/madagascar.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/madagascar.html
/agriculture/cassava-processing/malawi.html,/agriculture/cassava-processing/malawi.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/malawi.html
/agriculture/cassava-processing/mozambique.html,/agriculture/cassava-processing/mozambique.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/mozambique.html
/agriculture/cassava-processing/nigeria.html,/agriculture/cassava-processing/nigeria.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/nigeria.html
/agriculture/cassava-processing/sierra-leone.html,/agriculture/cassava-processing/sierra-leone.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/sierra-leone.html
/agriculture/cassava-processing/tanzania.html,/agriculture/cassava-processing/tanzania.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/tanzania.html
/agriculture/cassava-processing/togo.html,/agriculture/cassava-processing/togo.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/togo.html
/agriculture/cassava-processing/uganda.html,/agriculture/cassava-processing/uganda.html,site-page,base,agriculture,cassava-processing,no,yes,agriculture/cassava-processing/uganda.html
/agriculture/cocoa-tracker/,/agriculture/cocoa-tracker/index.html,site-page,base,agriculture,cocoa-tracker,no,yes,agriculture/cocoa-tracker/index.html
/agriculture/coffee-calculator/,/agriculture/coffee-calculator/index.html,site-page,base,agriculture,coffee-calculator,no,yes,agriculture/coffee-calculator/index.html
/agriculture/commodity-prices/,/agriculture/commodity-prices/index.html,site-page,base,agriculture,commodity-prices,no,yes,agriculture/commodity-prices/index.html
/agriculture/cooperative-calculator/,/agriculture/cooperative-calculator/index.html,site-page,base,agriculture,cooperative-calculator,no,yes,agriculture/cooperative-calculator/index.html
/agriculture/crop-insurance/angola.html,/agriculture/crop-insurance/angola.html,site-page,base,agriculture,crop-insurance,no,yes,agriculture/crop-insurance/angola.html
/agriculture/crop-insurance/cameroon.html,/agriculture/crop-insurance/cameroon.html,site-page,base,agriculture,crop-insurance,no,yes,agriculture/crop-insurance/cameroon.html
/agriculture/crop-insurance/cote-d-ivoire.html,/agriculture/crop-insurance/cote-d-ivoire.html,site-page,base,agriculture,crop-insurance,no,yes,agriculture/crop-insurance/cote-d-ivoire.html
/agriculture/crop-insurance/egypt.html,/agriculture/crop-insurance/egypt.html,site-page,base,agriculture,crop-insurance,no,yes,agriculture/crop-insurance/egypt.html
/agriculture/crop-insurance/ethiopia.html,/agriculture/crop-insurance/ethiopia.html,site-page,base,agriculture,crop-insurance,no,yes,agriculture/crop-insurance/ethiopia.html
/agriculture/crop-insurance/ghana.html,/agriculture/crop-insurance/ghana.html,site-page,base,agriculture,crop-insurance,no,yes,agriculture/crop-insurance/ghana.html
/agriculture/crop-insurance/,/agriculture/crop-insurance/index.html,site-page,base,agriculture,crop-insurance,no,yes,agriculture/crop-insurance/index.html
/agriculture/crop-insurance/kenya.html,/agriculture/crop-insurance/kenya.html,site-page,base,agriculture,crop-insurance,no,yes,agriculture/crop-insurance/kenya.html
/agriculture/crop-insurance/morocco.html,/agriculture/crop-insurance/morocco.html,site-page,base,agriculture,crop-insurance,no,yes,agriculture/crop-insurance/morocco.html
/agriculture/crop-insurance/nigeria.html,/agriculture/crop-insurance/nigeria.html,site-page,base,agriculture,crop-insurance,no,yes,agriculture/crop-insurance/nigeria.html
/agriculture/crop-insurance/rwanda.html,/agriculture/crop-insurance/rwanda.html,site-page,base,agriculture,crop-insurance,no,yes,agriculture/crop-insurance/rwanda.html
/agriculture/crop-insurance/senegal.html,/agriculture/crop-insurance/senegal.html,site-page,base,agriculture,crop-insurance,no,yes,agriculture/crop-insurance/senegal.html
