id,name,lang,status,phase,category,category_name,tier,countries,country_count,href,revenue,est_traffic,est_revenue,priority,is_new,pro_bundle,tool_count
africa-conflict,AfroConflict — Conflict Intelligence,en,live,LIVE,african,Uniquely African,T1,ALL,1,/tools/africa-conflict/,Freemium,15000,200,92,,,1
african-proverbs,"African Proverb Generator — Yoruba, Swahili, Zulu, Akan",en,live,LIVE,african,Uniquely African,T3,ALL,1,/tools/african-proverbs/,Freemium,1000,15,50,,,1
afroatlas,AfroAtlas — Africa Resource Explorer,en,new,LIVE,african,Uniquely African,T1,ALL,1,/tools/afroatlas/,Freemium,25000,300,94,,,1
afrokitchen,AfroKitchen — African Recipes,en,live,LIVE,african,Uniquely African,T1,ALL,1,/tools/afrokitchen/,Freemium,20000,300,90,,,1
afropoints,AfroPoints — Earn Money Contributing Data,en,live,NEW,african,Uniquely African,T1,ALL,1,/tools/afropoints/,Freemium,50000,500,98,,,1
afroprices,AfroPrices — Compare Prices Across Africa,en,live,LIVE,african,Uniquely African,T3,ALL,1,/tools/afroprices/,Freemium,1000,15,50,,,1
ajo-chama,Ajo/Chama Savings Tracker,en,live,LIVE,african,Uniquely African,T1,ALL,1,/tools/ajo-tracker/,Freemium,8000,150,82,,,1
ajo-chama-calc,Ajo / Chama / Tontine Calculator,en,live,LIVE,african,Uniquely African,T1,ALL,1,/tools/ajo-chama,Ad-supported,500,,58,,,1
ajo-interest,Ajo / Esusu Interest Calculator,en,live,LIVE,african,Uniquely African,T2,NG|GH,2,/tools/ajo-interest/,Freemium,10000,150,80,,,1
amount-words-gh,Amount to Words (Ghana),en,live,LIVE,african,Uniquely African,T3,GH,1,/tools/amount-words-gh/,Free,3000,24,66,,,1
amount-words-ke,Amount to Words (Kenya),en,live,LIVE,african,Uniquely African,T3,KE,1,/tools/amount-words-ke/,Free,4000,32,70,,,1
ankara-kente-cost,Ankara / Kente Pattern Cost Calculator — Africa,en,live,LIVE,african,Uniquely African,T3,ALL,1,/tools/ankara-kente-cost/,Freemium,1000,15,50,,,1
brideprice-advisor,Bride Price Advisor,en,live,LIVE,african,Uniquely African,T2,ALL,1,/tools/brideprice-advisor/,Freemium,18000,270,87,,,1
burial-cost,Funeral Cost Estimator,en,live,LIVE,african,Uniquely African,T3,NG|KE|GH|ZA,4,/tools/burial-cost/,Affiliate,6000,120,76,,,1
cost-of-living,African Cost of Living Comparator,en,live,LIVE,african,Uniquely African,T1,ALL,1,/tools/cost-of-living/,Premium + affiliate,12000,600,86,,,1
diaspora-guide,African Diaspora Tax Guide,en,live,LIVE,african,Uniquely African,T2,ALL,1,/tools/diaspora-guide/,Freemium,12000,240,83,,,1
electricity-estimator,Electricity Bill Estimator,en,live,LIVE,african,Uniquely African,T2,ALL,1,/tools/electricity-estimator/,Freemium,10000,150,86,,,1
fabric-cost,Fabric & Material Cost Calculator — Africa,en,live,LIVE,african,Uniquely African,T3,ALL,1,/tools/fabric-cost/,Freemium,1000,15,50,,,1
fuel-cost,Fuel Cost Calculator,en,live,LIVE,african,Uniquely African,T3,ALL,1,/tools/fuel-cost/,Ad-supported,7000,90,79,,,1
generator-fuel-african,Generator Fuel Calculator,en,live,LIVE,african,Uniquely African,T3,NG|GH|ZA|KE|TZ|UG,6,/tools/generator-fuel/,Affiliate,8000,150,83,,,16
hawala-tracker,Informal Remittance Cost Tracker,en,live,LIVE,african,Uniquely African,T2,ET|SO|DJ|ER,4,/tools/hawala-tracker/,Affiliate,4000,150,74,,,1
japa-calculator,Japa Cost Calculator,en,live,LIVE,african,Uniquely African,T1,ALL,1,/tools/japa-calculator/,Affiliate services,10000,500,91,,yes,1
land-size,Land Size Calculator,en,live,LIVE,african,Uniquely African,T3,ALL,1,/tools/land-size/,Affiliate land,8000,200,82,,,1
lobola-calculator,Lobola / Bride Price Calculator,en,live,LIVE,african,Uniquely African,T3,ZA|ZW|BW|LS|SZ,5,/tools/lobola-calculator/,Ad-supported,12000,120,83,,,1
market-days,African Market Day Calendar,en,live,LIVE,african,Uniquely African,T3,NG,1,/tools/market-days/,Free,5000,50,67,,,1
mobile-money-fees,Mobile Money Fee Checker,en,live,LIVE,african,Uniquely African,T2,ALL,1,/tools/mobile-money-fees/,Freemium,12000,200,88,,,1
naira-to-words,Amount to Words (Naira),en,live,LIVE,african,Uniquely African,T3,NG,1,/tools/naira-to-words/,Free,6000,48,74,,,1
nollywood-pitch,Film/TV Budget Estimator Africa,en,live,LIVE,african,Uniquely African,T2,NG|GH,2,/tools/nollywood-pitch/,Freemium,6000,120,74,,,1
okada-income,Okada / Boda Boda Income Tracker,en,live,LIVE,african,Uniquely African,T2,NG|KE|UG|TZ,4,/tools/okada-income/,Freemium,8000,120,78,,,1
remittance-compare,Remittance Comparator,en,live,LIVE,african,Uniquely African,T2,ALL,1,/tools/remittance-compare/,Affiliate,12000,1500,98,,,1
remittance-v2,Remittance Comparator Pro,en,live,LIVE,african,Uniquely African,T1,ALL,1,/tools/remittance-v2/,Affiliate,15000,2000,95,,,1
susu-tracker,Susu Group Tracker,en,live,LIVE,african,Uniquely African,T2,GH|NG|SL,3,/tools/susu-tracker/,Premium,6000,150,78,,,1
tithe-offering,Tithe & Offering Calculator,en,live,LIVE,african,Uniquely African,T3,ALL,1,/tools/tithe-calculator/,Free,10000,80,80,,,1
whatsapp-link,WhatsApp Link Generator,en,live,LIVE,african,Uniquely African,T3,ALL,1,/tools/whatsapp-link/,Free,10000,80,79,,,1
agric-profit,Crop Farming Profit Calculator,en,live,LIVE,agriculture,Agriculture,T2,ALL,1,/tools/agric-profit/,Freemium,9000,135,79,,,1
cassava-processing-angola,Angola Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,AO,1,/agriculture/cassava-processing/angola,Freemium,450,6,51,,,1
cassava-processing-benin,Benin Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,BJ,1,/agriculture/cassava-processing/benin,Freemium,400,5,50,,,1
cassava-processing-calculator,Cassava Processing Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,NG|GH|TZ|MZ|CD|CM|CI|AO|UG|MW|SL|BJ|MG|GN|TG,15,/agriculture/cassava-processing/,Freemium,16000,220,82,,,16
cassava-processing-cameroon,Cameroon Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,CM,1,/agriculture/cassava-processing/cameroon,Freemium,550,7,53,,,1
cassava-processing-cote-d-ivoire,Côte d'Ivoire Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,CI,1,/agriculture/cassava-processing/cote-d-ivoire,Freemium,600,8,54,,,1
cassava-processing-dr-congo,DR Congo Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,CD,1,/agriculture/cassava-processing/dr-congo,Freemium,600,8,54,,,1
cassava-processing-ghana,Ghana Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,GH,1,/agriculture/cassava-processing/ghana,Freemium,900,12,58,,,1
cassava-processing-guinea,Guinea Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,GN,1,/agriculture/cassava-processing/guinea,Freemium,350,4,49,,,1
cassava-processing-madagascar,Madagascar Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,MG,1,/agriculture/cassava-processing/madagascar,Freemium,350,4,49,,,1
cassava-processing-malawi,Malawi Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,MW,1,/agriculture/cassava-processing/malawi,Freemium,400,5,50,,,1
cassava-processing-mozambique,Mozambique Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,MZ,1,/agriculture/cassava-processing/mozambique,Freemium,500,6,52,,,1
cassava-processing-nigeria,Nigeria Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,NG,1,/agriculture/cassava-processing/nigeria,Freemium,1800,25,62,,,1
cassava-processing-sierra-leone,Sierra Leone Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,SL,1,/agriculture/cassava-processing/sierra-leone,Freemium,350,4,49,,,1
cassava-processing-tanzania,Tanzania Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,TZ,1,/agriculture/cassava-processing/tanzania,Freemium,700,9,55,,,1
cassava-processing-togo,Togo Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,TG,1,/agriculture/cassava-processing/togo,Freemium,350,4,49,,,1
cassava-processing-uganda,Uganda Cassava Processing Profit,en,live,LIVE,agriculture,Agriculture,T3,UG,1,/agriculture/cassava-processing/uganda,Freemium,500,7,52,,,1
cocoa-tracker,Cocoa Yield & Export Price Tracker,en,live,LIVE,agriculture,Agriculture,T3,CI|GH|NG|CM|TG|SL,6,/agriculture/cocoa-tracker/,Freemium,8000,120,77,,,1
coffee-calculator,Coffee Grade & Price Calculator,en,live,LIVE,agriculture,Agriculture,T3,ET|KE|TZ|UG|RW|BI|CI|CM,8,/agriculture/coffee-calculator/,Freemium,6000,80,73,,,1
commodity-prices,Commodity Price Tracker (Africa),en,live,LIVE,agriculture,Agriculture,T3,ALL,1,/agriculture/commodity-prices/,Freemium,12000,160,80,,,1
cooperative-calculator,Cooperative Dividend Calculator,en,live,LIVE,agriculture,Agriculture,T3,ALL,1,/agriculture/cooperative-calculator/,Freemium,2500,30,62,,,1
crop-insurance,Crop Insurance Premium Calculator,en,live,LIVE,agriculture,Agriculture,T3,NG|KE|ZA|GH|EG|ET|TZ|UG|RW|CI|CM|SN|MA|TN|AO,15,/agriculture/crop-insurance/,Free,8000,80,74,,,16
crop-rotation-planner,Crop Rotation Planner,en,live,LIVE,agriculture,Agriculture,T3,ALL,1,/agriculture/crop-rotation/,Freemium,2000,20,65,,,1
crop-yield,Crop Yield Calculator,en,live,LIVE,agriculture,Agriculture,T1,ALL,1,/tools/crop-yield,Ad-supported,400,,53,,,1
crop-yield-algeria,Algeria Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,DZ,1,/agriculture/crop-yield/algeria,Freemium,300,4,50,,,1
crop-yield-angola,Angola Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,AO,1,/agriculture/crop-yield/angola,Freemium,300,4,50,,,1
crop-yield-benin,Benin Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,BJ,1,/agriculture/crop-yield/benin,Freemium,300,4,50,,,1
crop-yield-botswana,Botswana Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,BW,1,/agriculture/crop-yield/botswana,Freemium,300,4,50,,,1
crop-yield-burkina-faso,Burkina Faso Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,BF,1,/agriculture/crop-yield/burkina-faso,Freemium,300,4,50,,,1
crop-yield-burundi,Burundi Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,BI,1,/agriculture/crop-yield/burundi,Freemium,300,4,50,,,1
crop-yield-cabo-verde,Cabo Verde Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,CV,1,/agriculture/crop-yield/cabo-verde,Freemium,300,4,50,,,1
crop-yield-cameroon,Cameroon Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,CM,1,/agriculture/crop-yield/cameroon,Freemium,300,4,50,,,1
crop-yield-central-african-republic,Central African Republic Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,CF,1,/agriculture/crop-yield/central-african-republic,Freemium,300,4,50,,,1
crop-yield-chad,Chad Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,TD,1,/agriculture/crop-yield/chad,Freemium,300,4,50,,,1
crop-yield-comoros,Comoros Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,KM,1,/agriculture/crop-yield/comoros,Freemium,300,4,50,,,1
crop-yield-congo-brazzaville,Congo-Brazzaville Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,CG,1,/agriculture/crop-yield/congo-brazzaville,Freemium,300,4,50,,,1
crop-yield-cote-d-ivoire,Côte d'Ivoire Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,CI,1,/agriculture/crop-yield/cote-d-ivoire,Freemium,300,4,50,,,1
crop-yield-djibouti,Djibouti Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,DJ,1,/agriculture/crop-yield/djibouti,Freemium,300,4,50,,,1
crop-yield-dr-congo,DR Congo Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,CD,1,/agriculture/crop-yield/dr-congo,Freemium,300,4,50,,,1
crop-yield-egypt,Egypt Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,EG,1,/agriculture/crop-yield/egypt,Freemium,300,4,50,,,1
crop-yield-equatorial-guinea,Equatorial Guinea Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,GQ,1,/agriculture/crop-yield/equatorial-guinea,Freemium,300,4,50,,,1
crop-yield-eritrea,Eritrea Crop Yield Estimator,en,live,LIVE,agriculture,Agriculture,T3,ER,1,/agriculture/crop-yield/eritrea,Freemium,300,4,50,,,1
