"route","file","issue_id","detail"
"/","index.html","description_length","Meta description length is 6."
"/about/","about/index.html","description_length","Meta description length is 19."
"/agriculture/cassava-processing/","agriculture/cassava-processing/index.html","title_length","Title length is 77."
"/agriculture/cassava-processing/angola","agriculture/cassava-processing/angola.html","title_length","Title length is 86."
"/agriculture/cassava-processing/benin","agriculture/cassava-processing/benin.html","title_length","Title length is 85."
"/agriculture/cassava-processing/cameroon","agriculture/cassava-processing/cameroon.html","title_length","Title length is 88."
"/agriculture/cassava-processing/cote-d-ivoire","agriculture/cassava-processing/cote-d-ivoire.html","title_length","Title length is 93."
"/agriculture/cassava-processing/dr-congo","agriculture/cassava-processing/dr-congo.html","title_length","Title length is 88."
"/agriculture/cassava-processing/ghana","agriculture/cassava-processing/ghana.html","title_length","Title length is 85."
"/agriculture/cassava-processing/guinea","agriculture/cassava-processing/guinea.html","title_length","Title length is 86."
"/agriculture/cassava-processing/madagascar","agriculture/cassava-processing/madagascar.html","title_length","Title length is 90."
"/agriculture/cassava-processing/malawi","agriculture/cassava-processing/malawi.html","title_length","Title length is 86."
"/agriculture/cassava-processing/mozambique","agriculture/cassava-processing/mozambique.html","title_length","Title length is 90."
"/agriculture/cassava-processing/nigeria","agriculture/cassava-processing/nigeria.html","title_length","Title length is 87."
"/agriculture/cassava-processing/sierra-leone","agriculture/cassava-processing/sierra-leone.html","title_length","Title length is 92."
"/agriculture/cassava-processing/tanzania","agriculture/cassava-processing/tanzania.html","title_length","Title length is 88."
"/agriculture/cassava-processing/togo","agriculture/cassava-processing/togo.html","title_length","Title length is 84."
"/agriculture/cassava-processing/uganda","agriculture/cassava-processing/uganda.html","title_length","Title length is 86."
"/agriculture/cocoa-tracker/","agriculture/cocoa-tracker/index.html","title_length","Title length is 99."
"/agriculture/coffee-calculator/","agriculture/coffee-calculator/index.html","title_length","Title length is 90."
"/agriculture/coffee-calculator/","agriculture/coffee-calculator/index.html","description_length","Meta description length is 200."
"/agriculture/commodity-prices/","agriculture/commodity-prices/index.html","title_length","Title length is 79."
"/agriculture/cooperative-calculator/","agriculture/cooperative-calculator/index.html","description_length","Meta description length is 189."
"/agriculture/crop-insurance/","agriculture/crop-insurance/index.html","description_length","Meta description length is 187."
"/agriculture/crop-rotation/","agriculture/crop-rotation/index.html","title_length","Title length is 76."
"/agriculture/export-docs/","agriculture/export-docs/index.html","title_length","Title length is 87."
"/agriculture/export-docs/algeria","agriculture/export-docs/algeria.html","description_length","Meta description length is 227."
"/agriculture/export-docs/angola","agriculture/export-docs/angola.html","description_length","Meta description length is 226."
"/agriculture/export-docs/benin","agriculture/export-docs/benin.html","description_length","Meta description length is 225."
"/agriculture/export-docs/botswana","agriculture/export-docs/botswana.html","description_length","Meta description length is 228."
"/agriculture/export-docs/burkina-faso","agriculture/export-docs/burkina-faso.html","description_length","Meta description length is 232."
"/agriculture/export-docs/burundi","agriculture/export-docs/burundi.html","description_length","Meta description length is 227."
"/agriculture/export-docs/cabo-verde","agriculture/export-docs/cabo-verde.html","description_length","Meta description length is 230."
"/agriculture/export-docs/cameroon","agriculture/export-docs/cameroon.html","description_length","Meta description length is 228."
"/agriculture/export-docs/central-african-republic","agriculture/export-docs/central-african-republic.html","title_length","Title length is 84."
"/agriculture/export-docs/central-african-republic","agriculture/export-docs/central-african-republic.html","description_length","Meta description length is 244."
"/agriculture/export-docs/chad","agriculture/export-docs/chad.html","description_length","Meta description length is 224."
"/agriculture/export-docs/comoros","agriculture/export-docs/comoros.html","description_length","Meta description length is 227."
"/agriculture/export-docs/congo-brazzaville","agriculture/export-docs/congo-brazzaville.html","title_length","Title length is 79."
"/agriculture/export-docs/congo-brazzaville","agriculture/export-docs/congo-brazzaville.html","description_length","Meta description length is 239."
"/agriculture/export-docs/djibouti","agriculture/export-docs/djibouti.html","description_length","Meta description length is 228."
"/agriculture/export-docs/dr-congo","agriculture/export-docs/dr-congo.html","description_length","Meta description length is 228."
"/agriculture/export-docs/egypt","agriculture/export-docs/egypt.html","description_length","Meta description length is 225."
"/agriculture/export-docs/equatorial-guinea","agriculture/export-docs/equatorial-guinea.html","title_length","Title length is 77."
"/agriculture/export-docs/equatorial-guinea","agriculture/export-docs/equatorial-guinea.html","description_length","Meta description length is 237."
"/agriculture/export-docs/eritrea","agriculture/export-docs/eritrea.html","description_length","Meta description length is 227."
"/agriculture/export-docs/eswatini","agriculture/export-docs/eswatini.html","description_length","Meta description length is 228."
"/agriculture/export-docs/ethiopia","agriculture/export-docs/ethiopia.html","description_length","Meta description length is 228."
"/agriculture/export-docs/gabon","agriculture/export-docs/gabon.html","description_length","Meta description length is 225."
"/agriculture/export-docs/gambia","agriculture/export-docs/gambia.html","description_length","Meta description length is 226."
"/agriculture/export-docs/ghana","agriculture/export-docs/ghana.html","description_length","Meta description length is 225."
"/agriculture/export-docs/guinea","agriculture/export-docs/guinea.html","description_length","Meta description length is 226."
"/agriculture/export-docs/guinea-bissau","agriculture/export-docs/guinea-bissau.html","description_length","Meta description length is 233."
"/agriculture/export-docs/kenya","agriculture/export-docs/kenya.html","description_length","Meta description length is 225."
"/agriculture/export-docs/lesotho","agriculture/export-docs/lesotho.html","description_length","Meta description length is 227."
"/agriculture/export-docs/liberia","agriculture/export-docs/liberia.html","description_length","Meta description length is 227."
"/agriculture/export-docs/libya","agriculture/export-docs/libya.html","description_length","Meta description length is 225."
"/agriculture/export-docs/madagascar","agriculture/export-docs/madagascar.html","description_length","Meta description length is 230."
"/agriculture/export-docs/malawi","agriculture/export-docs/malawi.html","description_length","Meta description length is 226."
"/agriculture/export-docs/mali","agriculture/export-docs/mali.html","description_length","Meta description length is 224."
"/agriculture/export-docs/mauritania","agriculture/export-docs/mauritania.html","description_length","Meta description length is 230."
"/agriculture/export-docs/mauritius","agriculture/export-docs/mauritius.html","description_length","Meta description length is 229."
"/agriculture/export-docs/morocco","agriculture/export-docs/morocco.html","description_length","Meta description length is 227."
"/agriculture/export-docs/mozambique","agriculture/export-docs/mozambique.html","description_length","Meta description length is 230."
"/agriculture/export-docs/namibia","agriculture/export-docs/namibia.html","description_length","Meta description length is 227."
"/agriculture/export-docs/niger","agriculture/export-docs/niger.html","description_length","Meta description length is 225."
"/agriculture/export-docs/nigeria","agriculture/export-docs/nigeria.html","description_length","Meta description length is 227."
"/agriculture/export-docs/rwanda","agriculture/export-docs/rwanda.html","description_length","Meta description length is 226."
"/agriculture/export-docs/sao-tome-and-principe","agriculture/export-docs/sao-tome-and-principe.html","title_length","Title length is 81."
"/agriculture/export-docs/sao-tome-and-principe","agriculture/export-docs/sao-tome-and-principe.html","description_length","Meta description length is 241."
"/agriculture/export-docs/senegal","agriculture/export-docs/senegal.html","description_length","Meta description length is 227."
"/agriculture/export-docs/seychelles","agriculture/export-docs/seychelles.html","description_length","Meta description length is 230."
"/agriculture/export-docs/sierra-leone","agriculture/export-docs/sierra-leone.html","description_length","Meta description length is 232."
"/agriculture/export-docs/somalia","agriculture/export-docs/somalia.html","description_length","Meta description length is 227."
"/agriculture/export-docs/south-africa","agriculture/export-docs/south-africa.html","description_length","Meta description length is 232."
"/agriculture/export-docs/south-sudan","agriculture/export-docs/south-sudan.html","description_length","Meta description length is 231."
"/agriculture/export-docs/sudan","agriculture/export-docs/sudan.html","description_length","Meta description length is 225."
"/agriculture/export-docs/tanzania","agriculture/export-docs/tanzania.html","description_length","Meta description length is 228."
"/agriculture/export-docs/togo","agriculture/export-docs/togo.html","description_length","Meta description length is 224."
"/agriculture/export-docs/tunisia","agriculture/export-docs/tunisia.html","description_length","Meta description length is 227."
"/agriculture/export-docs/uganda","agriculture/export-docs/uganda.html","description_length","Meta description length is 226."
"/agriculture/export-docs/zambia","agriculture/export-docs/zambia.html","description_length","Meta description length is 226."
"/agriculture/export-docs/zimbabwe","agriculture/export-docs/zimbabwe.html","description_length","Meta description length is 228."
"/agriculture/farm-loans/","agriculture/farm-loans/index.html","description_length","Meta description length is 189."
"/agriculture/farm-loans/cameroon","agriculture/farm-loans/cameroon.html","title_length","Title length is 78."
"/agriculture/farm-loans/cote-d-ivoire","agriculture/farm-loans/cote-d-ivoire.html","title_length","Title length is 78."
"/agriculture/farm-loans/ethiopia","agriculture/farm-loans/ethiopia.html","title_length","Title length is 90."
"/agriculture/farm-loans/ghana","agriculture/farm-loans/ghana.html","title_length","Title length is 83."
"/agriculture/farm-loans/kenya","agriculture/farm-loans/kenya.html","title_length","Title length is 83."
"/agriculture/farm-loans/morocco","agriculture/farm-loans/morocco.html","title_length","Title length is 84."
"/agriculture/farm-loans/nigeria","agriculture/farm-loans/nigeria.html","title_length","Title length is 78."
"/agriculture/farm-loans/nigeria","agriculture/farm-loans/nigeria.html","description_length","Meta description length is 185."
"/agriculture/farm-loans/rwanda","agriculture/farm-loans/rwanda.html","title_length","Title length is 96."
"/agriculture/farm-loans/senegal","agriculture/farm-loans/senegal.html","title_length","Title length is 77."
"/agriculture/farm-loans/south-africa","agriculture/farm-loans/south-africa.html","title_length","Title length is 81."
"/agriculture/farm-loans/tanzania","agriculture/farm-loans/tanzania.html","title_length","Title length is 87."
"/agriculture/farm-loans/uganda","agriculture/farm-loans/uganda.html","title_length","Title length is 87."
"/agriculture/farm-payroll/","agriculture/farm-payroll/index.html","description_length","Meta description length is 201."
"/agriculture/farm-payroll/_template","agriculture/farm-payroll/_template.html","title_length","Title length is 82."
