route,relPath,family,issue,evidence,fixCandidates
"/404.html","404.html","(root)","sub16_form_controls","404.html: .search-btn sets control text to 14px.","404.html | shared mobile form sizing pattern"
"/african/","african/index.html","african","tap_targets_below_44","african/index.html: .cta-link is likely about 40.9px tall.","african/index.html | shared 44px tap target pattern"
"/agriculture/pesticide-dosage/","agriculture/pesticide-dosage/index.html","agriculture","tap_targets_below_44","agriculture/pesticide-dosage/index.html: .toggle-slider::before is likely about 16px tall.","agriculture/pesticide-dosage/index.html | shared 44px tap target pattern"
"/all-tools/","all-tools/index.html","all-tools","sub16_form_controls","all-tools/index.html: .search-icon sets control text to 14.4px.","all-tools/index.html | shared mobile form sizing pattern"
"/auth/login.html","auth/login.html","auth","custom_mobile_nav_search","auth/login.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","auth | assets/js/components/navbar.js adoption"
"/blog/comparatif-salaires-afrique-francophone/","blog/comparatif-salaires-afrique-francophone/index.html","blog","custom_mobile_nav_search","blog/comparatif-salaires-afrique-francophone/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","blog | assets/js/components/navbar.js adoption"
"/blog/francophone-africa-tax-guide-2026/","blog/francophone-africa-tax-guide-2026/index.html","blog","custom_mobile_nav_search","blog/francophone-africa-tax-guide-2026/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","blog | assets/js/components/navbar.js adoption"
"/business/break-even/","business/break-even/index.html","business","custom_mobile_nav_search","business/break-even/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","business | assets/js/components/navbar.js adoption"
"/business/","business/index.html","business","custom_mobile_nav_search","business/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","business | assets/js/components/navbar.js adoption"
"/business/invoice/","business/invoice/index.html","business","custom_mobile_nav_search","business/invoice/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","business | assets/js/components/navbar.js adoption"
"/business/payroll/","business/payroll/index.html","business","custom_mobile_nav_search","business/payroll/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","business | assets/js/components/navbar.js adoption"
"/business/setup/","business/setup/index.html","business","custom_mobile_nav_search","business/setup/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","business | assets/js/components/navbar.js adoption"
"/cabo-verde/","cabo-verde/index.html","cabo-verde","custom_mobile_nav_search","cabo-verde/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","cabo-verde | assets/js/components/navbar.js adoption"
"/changelog/","changelog/index.html","changelog","late_multicolumn_collapse","changelog/index.html: .content keeps 2 columns until 760px.","changelog/index.html | shared early-collapse layout pattern"
"/climate/","climate/index.html","climate","tap_targets_below_44","assets/css/climate.css: .cl-pathway-result-grid a,.cl-pathway-sequence a is likely about 41.2px tall.","assets/css/climate.css | shared 44px tap target pattern"
"/contact/","contact/index.html","contact","sub16_form_controls","contact/index.html: .form-card-sub sets control text to 13.1px.","contact/index.html | shared mobile form sizing pattern"
"/crypto/dca-calculator/","crypto/dca-calculator/index.html","crypto","tap_targets_below_44","crypto/dca-calculator/index.html: .btn-calculate is likely about 43.2px tall. | crypto/dca-calculator/index.html: .btn-calculate .spinner is likely about 16px tall.","crypto/dca-calculator/index.html | shared 44px tap target pattern"
"/crypto/dca-calculator/","crypto/dca-calculator/index.html","crypto","late_multicolumn_collapse","crypto/dca-calculator/index.html: .dca-summary-grid keeps 2 columns until 480px.","crypto/dca-calculator/index.html | shared early-collapse layout pattern"
"/crypto/exchange-ratings/","crypto/exchange-ratings/index.html","crypto","late_multicolumn_collapse","crypto/exchange-ratings/index.html: .detail-info-grid keeps 2 columns until 480px.","crypto/exchange-ratings/index.html | shared early-collapse layout pattern"
"/crypto/portfolio/","crypto/portfolio/index.html","crypto","tap_targets_below_44","crypto/portfolio/index.html: .btn-add-coin is likely about 39.2px tall.","crypto/portfolio/index.html | shared 44px tap target pattern"
"/crypto/prices/","crypto/prices/index.html","crypto","late_multicolumn_collapse","assets/css/crypto.css: .coin-detail-stats keeps 2 columns until no collapse rule.","assets/css/crypto.css | shared early-collapse layout pattern"
"/crypto/profit-calculator/","crypto/profit-calculator/index.html","crypto","sub16_form_controls","crypto/profit-calculator/index.html: .input-with-prefix .prefix sets control text to 14px.","crypto/profit-calculator/index.html | shared mobile form sizing pattern"
"/crypto/profit-calculator/","crypto/profit-calculator/index.html","crypto","late_multicolumn_collapse","crypto/profit-calculator/index.html: .fee-row keeps 2 columns until no collapse rule.","crypto/profit-calculator/index.html | shared early-collapse layout pattern"
"/crypto/quiz/","crypto/quiz/index.html","crypto","late_multicolumn_collapse","crypto/quiz/index.html: .difficulty-grid keeps 3 columns until 600px.","crypto/quiz/index.html | shared early-collapse layout pattern"
"/crypto/stablecoins/","crypto/stablecoins/index.html","crypto","late_multicolumn_collapse","crypto/stablecoins/index.html: .table-header keeps 6 columns until no collapse rule.","crypto/stablecoins/index.html | shared early-collapse layout pattern"
"/crypto/tax-calculator/","crypto/tax-calculator/index.html","crypto","tap_targets_below_44","crypto/tax-calculator/index.html: .btn-add-trade is likely about 39.2px tall. | crypto/tax-calculator/index.html: .btn-csv is likely about 39.2px tall. | crypto/tax-calculator/index.html: .modal-box .btn-modal-close is likely about 39.2px tall.","crypto/tax-calculator/index.html | shared 44px tap target pattern"
