route,relPath,family,score,issues,evidence
"/african/","african/index.html","african","20","tap_targets_below_44","tap_targets_below_44: african/index.html .cta-link is likely about 40.9px tall."
"/climate/","climate/index.html","climate","20","tap_targets_below_44","tap_targets_below_44: assets/css/climate.css .cl-pathway-result-grid a,.cl-pathway-sequence a is likely about 41.2px tall."
"/dashboard/","dashboard/index.html","dashboard","24","tap_targets_below_44","tap_targets_below_44: dashboard/index.html .pro-upsell a is likely about 40.9px tall. || tap_targets_below_44: dashboard/index.html .energy-plan-next a is likely about 23.1px tall. || tap_targets_below_44: dashboard/index.html .auth-local-nudge a is likely about 30px tall."
"/engineering/afrodraft/app.html","engineering/afrodraft/app.html","engineering","116","sub16_form_controls|tap_targets_below_44|late_multicolumn_collapse|horizontal_overflow_risk|custom_mobile_nav_search","sub16_form_controls: engineering/afrodraft/assets/css/app.css .layer-toolbar button sets control text to 10px. || sub16_form_controls: engineering/afrodraft/assets/css/app.css .modal-field input,.modal-field select sets control text to 11px. || sub16_form_controls: engineering/afrodraft/assets/css/app.css .recent-item-actions button sets control text to 11px. || tap_targets_below_44: engineering/afrodraft/assets/css/app.css #tab-bar is likely about 27.2px tall."
"/fr/blog/calculer-salaire-net-senegal/","fr/blog/calculer-salaire-net-senegal/index.html","fr/blog","96","missing_shared_foundation_css|missing_shared_navbar|tap_targets_below_44|late_multicolumn_collapse|fixed_sidebar_320plus","missing_shared_foundation_css: fr/blog/calculer-salaire-net-senegal/index.html Page does not link the shared CSS foundation or an equivalent bundled foundation. || missing_shared_navbar: fr/blog/calculer-salaire-net-senegal/index.html Full page does not use <afro-navbar> or the shared navbar component script. || tap_targets_below_44: fr/blog/calculer-salaire-net-senegal/index.html .topnav a is likely about 31.2px tall. || late_multicolumn_collapse: fr/blog/calculer-salaire-net-senegal/index.html .field-grid keeps 2 columns until 620px."
"/fr/developer-tools/","fr/developer-tools/index.html","fr/developer-tools","22","late_multicolumn_collapse","late_multicolumn_collapse: fr/developer-tools/index.html .tg keeps 2 columns until 400px."
"/fr/guinea-bissau/gw-paye.html","fr/guinea-bissau/gw-paye.html","fr/country-paye","14","missing_shared_navbar","missing_shared_navbar: fr/guinea-bissau/gw-paye.html Full page does not use <afro-navbar> or the shared navbar component script."
"/fr/guinea-bissau/gw-vat.html","fr/guinea-bissau/gw-vat.html","fr/guinea-bissau","14","missing_shared_navbar","missing_shared_navbar: fr/guinea-bissau/gw-vat.html Full page does not use <afro-navbar> or the shared navbar component script."
"/fr/sao-tome/st-paye.html","fr/sao-tome/st-paye.html","fr/country-paye","14","missing_shared_navbar","missing_shared_navbar: fr/sao-tome/st-paye.html Full page does not use <afro-navbar> or the shared navbar component script."
"/fr/sao-tome/st-vat.html","fr/sao-tome/st-vat.html","fr/sao-tome","14","missing_shared_navbar","missing_shared_navbar: fr/sao-tome/st-vat.html Full page does not use <afro-navbar> or the shared navbar component script."
"/fr/tools/contraste-couleurs/","fr/tools/contraste-couleurs/index.html","fr/tools","118","missing_shared_foundation_css|missing_shared_navbar|sub16_form_controls|tap_targets_below_44|late_multicolumn_collapse|fixed_sidebar_320plus","missing_shared_foundation_css: fr/tools/contraste-couleurs/index.html Page does not link the shared CSS foundation or an equivalent bundled foundation. || missing_shared_navbar: fr/tools/contraste-couleurs/index.html Full page does not use <afro-navbar> or the shared navbar component script. || sub16_form_controls: fr/tools/contraste-couleurs/index.html .suggestion button sets control text to 13.8px. || tap_targets_below_44: fr/tools/contraste-couleurs/index.html .topnav a is likely about 31.2px tall."
"/fr/tools/generateur-factures/","fr/tools/generateur-factures/index.html","fr/tools","24","late_multicolumn_collapse","late_multicolumn_collapse: assets/css/invoice-generator.css .f-row keeps 2 columns until 600px. || late_multicolumn_collapse: assets/css/invoice-generator.css .f-row-3 keeps 3 columns until 600px."
"/pro/apps/creator-studio/","pro/apps/creator-studio/index.html","pro","22","late_multicolumn_collapse","late_multicolumn_collapse: pro/apps/creator-studio/index.html .creator-snapshot keeps 4 columns until 760px."
"/pro/apps/events/","pro/apps/events/index.html","pro","20","horizontal_overflow_risk","horizontal_overflow_risk: pro/apps/events/index.html table sets min-width to 820px."
"/pro/apps/grants-tenders/","pro/apps/grants-tenders/index.html","pro","22","late_multicolumn_collapse","late_multicolumn_collapse: pro/apps/grants-tenders/index.html .grant-snapshot keeps 4 columns until 760px."
