vehicle_id,make,make_slug,model,model_slug,year,year_bucket,body_type,fuel_types,transmissions,source_markets,candidate_priority,tags,blueprint_family,image_name,save_directory
ford-escape-kuga-2005,Ford,ford,Escape / Kuga,escape-kuga,2005,old,suv,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,medium,suv|family,ford-escape-kuga,ford-escape-kuga-2005-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2005/
ford-escape-kuga-2008,Ford,ford,Escape / Kuga,escape-kuga,2008,old,suv,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,medium,suv|family,ford-escape-kuga,ford-escape-kuga-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2008/
ford-escape-kuga-2011,Ford,ford,Escape / Kuga,escape-kuga,2011,old,suv,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,medium,suv|family,ford-escape-kuga,ford-escape-kuga-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2011/
ford-escape-kuga-2014,Ford,ford,Escape / Kuga,escape-kuga,2014,fairly_recent,suv,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,medium,suv|family,ford-escape-kuga,ford-escape-kuga-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2014/
ford-escape-kuga-2017,Ford,ford,Escape / Kuga,escape-kuga,2017,fairly_recent,suv,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,medium,suv|family,ford-escape-kuga,ford-escape-kuga-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2017/
ford-escape-kuga-2020,Ford,ford,Escape / Kuga,escape-kuga,2020,very_recent,suv,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,medium,suv|family,ford-escape-kuga,ford-escape-kuga-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2020/
ford-escape-kuga-2023,Ford,ford,Escape / Kuga,escape-kuga,2023,very_recent,suv,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,medium,suv|family,ford-escape-kuga,ford-escape-kuga-2023-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2023/
ford-everest-2005,Ford,ford,Everest,everest,2005,old,suv,diesel,automatic,south-africa|uae|local-dealer,medium,suv|work,ford-everest,ford-everest-2005-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2005/
ford-everest-2009,Ford,ford,Everest,everest,2009,old,suv,diesel,automatic,south-africa|uae|local-dealer,medium,suv|work,ford-everest,ford-everest-2009-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2009/
ford-everest-2012,Ford,ford,Everest,everest,2012,old,suv,diesel,automatic,south-africa|uae|local-dealer,medium,suv|work,ford-everest,ford-everest-2012-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2012/
ford-everest-2015,Ford,ford,Everest,everest,2015,fairly_recent,suv,diesel,automatic,south-africa|uae|local-dealer,medium,suv|work,ford-everest,ford-everest-2015-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2015/
ford-everest-2018,Ford,ford,Everest,everest,2018,fairly_recent,suv,diesel,automatic,south-africa|uae|local-dealer,medium,suv|work,ford-everest,ford-everest-2018-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2018/
ford-everest-2021,Ford,ford,Everest,everest,2021,very_recent,suv,diesel,automatic,south-africa|uae|local-dealer,medium,suv|work,ford-everest,ford-everest-2021-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2021/
ford-everest-2024,Ford,ford,Everest,everest,2024,very_recent,suv,diesel,automatic,south-africa|uae|local-dealer,medium,suv|work,ford-everest,ford-everest-2024-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2024/
ford-ranger-2005,Ford,ford,Ranger,ranger,2005,old,pickup,diesel,manual|automatic,south-africa|uk|uae|local-dealer,high,pickup|work,ford-ranger,ford-ranger-2005-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2005/
ford-ranger-2008,Ford,ford,Ranger,ranger,2008,old,pickup,diesel,manual|automatic,south-africa|uk|uae|local-dealer,high,pickup|work,ford-ranger,ford-ranger-2008-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2008/
ford-ranger-2012,Ford,ford,Ranger,ranger,2012,old,pickup,diesel,manual|automatic,south-africa|uk|uae|local-dealer,high,pickup|work,ford-ranger,ford-ranger-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2012/
ford-ranger-2015,Ford,ford,Ranger,ranger,2015,fairly_recent,pickup,diesel,manual|automatic,south-africa|uk|uae|local-dealer,high,pickup|work,ford-ranger,ford-ranger-2015-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2015/
ford-ranger-2020,Ford,ford,Ranger,ranger,2020,very_recent,pickup,diesel,manual|automatic,south-africa|uk|uae|local-dealer,high,pickup|work,ford-ranger,ford-ranger-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2020/
ford-ranger-2023,Ford,ford,Ranger,ranger,2023,very_recent,pickup,diesel,manual|automatic,south-africa|uk|uae|local-dealer,high,pickup|work,ford-ranger,ford-ranger-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2023/
honda-accord-2003,Honda,honda,Accord,accord,2003,old,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,high,sedan|popular,honda-accord,honda-accord-2003-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2003/
honda-accord-2005,Honda,honda,Accord,accord,2005,old,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,high,sedan|popular,honda-accord,honda-accord-2005-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2005/
