vehicle_id,make,make_slug,model,model_slug,year,year_bucket,body_type,fuel_types,transmissions,source_markets,candidate_priority,tags,blueprint_family,image_name,save_directory
audi-e-tron-2021,Audi,audi,e-tron,e-tron,2021,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,medium,luxury|premium|ev|africa-buy,audi-e-tron,audi-e-tron-2021-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/e-tron/2021/
audi-e-tron-2022,Audi,audi,e-tron,e-tron,2022,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,medium,luxury|premium|ev|africa-buy,audi-e-tron,audi-e-tron-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/e-tron/2022/
audi-e-tron-2024,Audi,audi,e-tron,e-tron,2024,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,medium,luxury|premium|ev|africa-buy,audi-e-tron,audi-e-tron-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/e-tron/2024/
bmw-i4-2022,BMW,bmw,i4,i4,2022,very_recent,sedan,electric,automatic,uk|south-africa|local-dealer,medium,luxury|premium|ev|africa-buy,bmw-i4,bmw-i4-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/i4/2022/
bmw-i4-2024,BMW,bmw,i4,i4,2024,very_recent,sedan,electric,automatic,uk|south-africa|local-dealer,medium,luxury|premium|ev|africa-buy,bmw-i4,bmw-i4-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/i4/2024/
bmw-i4-2025,BMW,bmw,i4,i4,2025,very_recent,sedan,electric,automatic,uk|south-africa|local-dealer,medium,luxury|premium|ev|africa-buy,bmw-i4,bmw-i4-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/i4/2025/
bmw-ix3-2022,BMW,bmw,iX3,ix3,2022,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,high,luxury|premium|ev|africa-buy,bmw-ix3,bmw-ix3-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/ix3/2022/
bmw-ix3-2023,BMW,bmw,iX3,ix3,2023,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,high,luxury|premium|ev|africa-buy,bmw-ix3,bmw-ix3-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/ix3/2023/
bmw-ix3-2024,BMW,bmw,iX3,ix3,2024,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,high,luxury|premium|ev|africa-buy,bmw-ix3,bmw-ix3-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/ix3/2024/
byd-sealion-7-2025,BYD,byd,Sealion 7,sealion-7,2025,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,high,chinese|premium|ev|africa-buy,byd-sealion-7,byd-sealion-7-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/byd/sealion-7/2025/
mercedes-benz-eqb-2022,Mercedes-Benz,mercedes-benz,EQB,eqb,2022,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,high,luxury|premium|ev|africa-buy,mercedes-benz-eqb,mercedes-benz-eqb-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqb/2022/
mercedes-benz-eqb-2023,Mercedes-Benz,mercedes-benz,EQB,eqb,2023,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,high,luxury|premium|ev|africa-buy,mercedes-benz-eqb,mercedes-benz-eqb-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqb/2023/
