vehicle_id,make,model,year,body_type,image_name,save_directory
ford-escape-kuga-2005,Ford,Escape / Kuga,2005,suv,ford-escape-kuga-2005-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2005/
ford-escape-kuga-2008,Ford,Escape / Kuga,2008,suv,ford-escape-kuga-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2008/
ford-escape-kuga-2011,Ford,Escape / Kuga,2011,suv,ford-escape-kuga-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2011/
ford-escape-kuga-2014,Ford,Escape / Kuga,2014,suv,ford-escape-kuga-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2014/
ford-escape-kuga-2017,Ford,Escape / Kuga,2017,suv,ford-escape-kuga-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2017/
ford-escape-kuga-2020,Ford,Escape / Kuga,2020,suv,ford-escape-kuga-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2020/
ford-escape-kuga-2023,Ford,Escape / Kuga,2023,suv,ford-escape-kuga-2023-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/escape-kuga/2023/
ford-everest-2005,Ford,Everest,2005,suv,ford-everest-2005-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2005/
ford-everest-2009,Ford,Everest,2009,suv,ford-everest-2009-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2009/
ford-everest-2012,Ford,Everest,2012,suv,ford-everest-2012-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2012/
ford-everest-2015,Ford,Everest,2015,suv,ford-everest-2015-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2015/
ford-everest-2018,Ford,Everest,2018,suv,ford-everest-2018-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2018/
ford-everest-2021,Ford,Everest,2021,suv,ford-everest-2021-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2021/
ford-everest-2024,Ford,Everest,2024,suv,ford-everest-2024-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/everest/2024/
ford-ranger-2005,Ford,Ranger,2005,pickup,ford-ranger-2005-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2005/
ford-ranger-2008,Ford,Ranger,2008,pickup,ford-ranger-2008-hero.webp,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2008/
ford-ranger-2012,Ford,Ranger,2012,pickup,ford-ranger-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2012/
ford-ranger-2015,Ford,Ranger,2015,pickup,ford-ranger-2015-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2015/
ford-ranger-2020,Ford,Ranger,2020,pickup,ford-ranger-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2020/
