vehicle_id,make,model,year,body_type,image_name,save_directory
audi-e-tron-2021,Audi,e-tron,2021,suv,audi-e-tron-2021-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/e-tron/2021/
audi-e-tron-2022,Audi,e-tron,2022,suv,audi-e-tron-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/e-tron/2022/
audi-e-tron-2024,Audi,e-tron,2024,suv,audi-e-tron-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/e-tron/2024/
bmw-i4-2022,BMW,i4,2022,sedan,bmw-i4-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/i4/2022/
bmw-i4-2024,BMW,i4,2024,sedan,bmw-i4-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/i4/2024/
bmw-i4-2025,BMW,i4,2025,sedan,bmw-i4-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/i4/2025/
bmw-ix3-2022,BMW,iX3,2022,suv,bmw-ix3-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/ix3/2022/
bmw-ix3-2023,BMW,iX3,2023,suv,bmw-ix3-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/ix3/2023/
bmw-ix3-2024,BMW,iX3,2024,suv,bmw-ix3-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/ix3/2024/
byd-sealion-7-2025,BYD,Sealion 7,2025,suv,byd-sealion-7-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/byd/sealion-7/2025/
mercedes-benz-eqb-2022,Mercedes-Benz,EQB,2022,suv,mercedes-benz-eqb-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqb/2022/
mercedes-benz-eqb-2023,Mercedes-Benz,EQB,2023,suv,mercedes-benz-eqb-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqb/2023/
mercedes-benz-eqb-2024,Mercedes-Benz,EQB,2024,suv,mercedes-benz-eqb-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqb/2024/
mercedes-benz-eqe-2022,Mercedes-Benz,EQE,2022,sedan,mercedes-benz-eqe-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqe/2022/
mercedes-benz-eqe-2023,Mercedes-Benz,EQE,2023,sedan,mercedes-benz-eqe-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqe/2023/
mercedes-benz-eqe-2024,Mercedes-Benz,EQE,2024,sedan,mercedes-benz-eqe-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqe/2024/
mercedes-benz-eqs-2022,Mercedes-Benz,EQS,2022,sedan,mercedes-benz-eqs-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqs/2022/
mercedes-benz-eqs-2023,Mercedes-Benz,EQS,2023,sedan,mercedes-benz-eqs-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqs/2023/
mercedes-benz-eqs-2024,Mercedes-Benz,EQS,2024,sedan,mercedes-benz-eqs-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqs/2024/
volvo-ex30-2024,Volvo,EX30,2024,suv,volvo-ex30-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/volvo/ex30/2024/
volvo-ex30-2025,Volvo,EX30,2025,suv,volvo-ex30-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/volvo/ex30/2025/
volvo-xc40-recharge-2022,Volvo,XC40 Recharge,2022,suv,volvo-xc40-recharge-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/volvo/xc40-recharge/2022/
volvo-xc40-recharge-2023,Volvo,XC40 Recharge,2023,suv,volvo-xc40-recharge-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/volvo/xc40-recharge/2023/
volvo-xc40-recharge-2024,Volvo,XC40 Recharge,2024,suv,volvo-xc40-recharge-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/volvo/xc40-recharge/2024/
