vehicle_id,make,model,year,body_type,normalized_trim,candidate_priority,target_country_code,source_market,verification_status,local_observed_date,observed_local_prices,local_currency,local_median_price,local_sample_count,local_listing_urls,source_observed_date,observed_source_prices,source_currency,source_median_price,source_sample_count,source_listing_urls,image_license_status,promotion_ready,promotion_blockers,available_country_codes,available_source_markets,evidence_pair_count
audi-a4-2022,Audi,A4,2022,sedan,,medium,ZA,japan,verified-source-backed,2026-04-15,499900,ZAR,499900,1,https://www.cars.co.za/for-sale/used/2022-Audi-A4-2.0-TDI-Auto-S-Line--35-TDI-Gauteng-Bryanston/10685980/,2026-04-15,22900,USD,22900,1,https://www.beforward.jp/audi/a4/cc336561/id/14355211/?mfg_year_from=2022,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,japan,1
audi-q5-2020,Audi,Q5,2020,suv,,medium,ZA,uae,verified-source-backed,2026-04-15,449000|459900|499995,ZAR,459900,3,https://www.autotrader.co.za/car-for-sale/audi/q5/40tdi/28477429 | https://www.autotrader.co.za/car-for-sale/audi/q5/40tdi/28504608 | https://www.autotrader.co.za/car-for-sale/audi/q5/40tdi/28251147,2026-04-15,18900|23300|21600,USD,21600,3,https://www.dubicars.com/dubai/used/audi/q5/2020 | https://www.dubicars.com/uae/used/audi/q5/2020,pending-licensed-image,false,"The local sample is diesel-heavy while the UAE source sample is petrol-heavy, so trim and powertrain normalization is still needed. | Only South Africa and Kenya local-market evidence are verified so far. | No licensed image has been attached yet.",ZA|KE,uae|japan,2
bmw-3-series-2008,BMW,3 Series,2008,sedan,320d M Sport Auto,high,ZA,japan,verified-source-backed,2026-04-15,149990,ZAR,149990,1,https://www.cars.co.za/for-sale/used/2008-BMW-3-Series-320d-M-Sport-Auto-Gauteng-Vereeniging/9997035/,2026-04-15,1790,USD,1790,1,https://www.beforward.jp/bmw/3-series/cb027152/id/13104569/,pending-licensed-image,false,"Local sample is 320d diesel while the source sample is 320i petrol, so powertrain normalization is still needed. | Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.",ZA,japan,1
bmw-3-series-2012,BMW,3 Series,2012,sedan,320d Innovation Auto,high,ZA,japan,verified-source-backed,2026-04-15,139900,ZAR,139900,1,https://www.cars.co.za/for-sale/used/2012-BMW-3-Series-320d-Innovation-Auto-Gauteng-Roodepoort/10746855/,2026-04-15,3050,USD,3050,1,https://www.beforward.jp/bmw/3-series/cb083621/id/13146552/,pending-licensed-image,false,"Local sample is 320d diesel while the source sample is 320i petrol, so powertrain normalization is still needed. | Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.",ZA,japan,1
bmw-3-series-2016,BMW,3 Series,2016,sedan,320i M Sport Auto,high,ZA,japan,verified-source-backed,2026-04-15,122900,ZAR,122900,1,https://www.cars.co.za/for-sale/used/2016-BMW-3-Series-320i-M-Sport-Auto-Gauteng-Centurion/10449497/,2026-04-15,8980,USD,8980,1,https://www.beforward.jp/sw/bmw/3-series/by429088/id/11576960/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,japan,1
bmw-3-series-2019,BMW,3 Series,2019,sedan,320i M Sport Launch Edition,high,ZA,korea,verified-source-backed,2026-04-15,449995,ZAR,449995,1,https://www.cars.co.za/for-sale/used/2019-BMW-3-Series-320i-M-Sport-Launch-Edition-Gauteng-Pretoria/9485251/,2026-04-15,12100,USD,12100,1,https://www.beforward.jp/bmw/3-series/cb114332/id/13186483/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-3-series-2022,BMW,3 Series,2022,sedan,,high,ZA,korea,verified-source-backed,2026-04-15,629900,ZAR,629900,1,https://www.cars.co.za/for-sale/used/2022-BMW-3-Series-320d-M-Sport-Gauteng-Sandton/10407989/,2026-04-15,24302,USD,24302,1,https://www.beforward.jp/bmw/3-series/cc803763/id/14825728/?mfg_year_from=2022,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-3-series-2024,BMW,3 Series,2024,sedan,320i M Sport,high,ZA,korea,verified-source-backed,2026-04-15,779900,ZAR,779900,1,https://www.autotrader.co.za/car-for-sale/bmw/3-series/320i/28458012,2026-04-15,34078,USD,34078,1,https://www.beforward.jp/ar/bmw/3-series/ca025311/id/12106814/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-5-series-2008,BMW,5 Series,2008,sedan,525i M Sport Auto,high,ZA,korea,verified-source-backed,2026-04-15,149900,ZAR,149900,1,https://www.cars.co.za/for-sale/used/2008-BMW-5-Series-525i-M-Sport-Auto-Gauteng-Johannesburg/9973306/,2026-04-15,4840,USD,4840,1,https://www.beforward.jp/bmw/5-series/cb096406/id/13153548/?mfg_year_from=2008,pending-licensed-image,false,"The source sample is a generic 2008 BMW 5 Series sedan from Korea rather than an exact 525i M Sport match, so trim normalization is still needed. | Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.",ZA,korea,1
bmw-5-series-2012,BMW,5 Series,2012,sedan,520d Auto,high,ZA,korea,verified-source-backed,2026-04-15,149900,ZAR,149900,1,https://www.cars.co.za/for-sale/used/2012-BMW-5-Series-520d-Auto-Gauteng-Randburg/10699208/,2026-04-15,4393,USD,4393,1,https://www.beforward.jp/ge/bmw/5-series/by782329/id/11934226/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-5-series-2016,BMW,5 Series,2016,sedan,520d M Sport Auto,high,ZA,korea,verified-source-backed,2026-04-15,329900,ZAR,329900,1,https://www.cars.co.za/for-sale/used/2016-BMW-5-Series-520d-M-Sport-Auto-Gauteng-Pretoria/10571699/,2026-04-15,7220,USD,7220,1,https://www.beforward.jp/pt/bmw/5-series/by745250/id/11896636/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-5-series-2019,BMW,5 Series,2019,sedan,520d M Sport,high,ZA,korea,verified-source-backed,2026-04-15,399900,ZAR,399900,1,https://www.cars.co.za/for-sale/used/2019-BMW-5-Series-520d-M-Sport-Gauteng-Rosettenville/10768238/,2026-04-15,20596,USD,20596,1,https://www.beforward.jp/fr/bmw/5-series/ca061161/id/12143552/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-5-series-2022,BMW,5 Series,2022,sedan,,high,ZA,korea,verified-source-backed,2026-04-15,669000,ZAR,669000,1,https://www.cars.co.za/for-sale/used/2022-BMW-5-Series-520d-M-Sport-Auto-Gauteng-Sandton/10519811/,2026-04-15,25866,USD,25866,1,https://www.beforward.jp/bmw/5-series/cc600853/id/14621547/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
