vehicle_id,make,model,year,body_type,candidate_priority,target_country_code,source_market,verification_status,observed_local_prices,local_currency,local_median_price,local_sample_count,local_listing_urls,observed_source_prices,source_currency,source_median_price,source_sample_count,source_listing_urls,image_license_status,promotion_ready,promotion_blockers,available_country_codes,available_source_markets,evidence_pair_count
audi-a4-2022,Audi,A4,2022,sedan,high,ZA,japan,verified-source-backed,499900,ZAR,499900,1,https://www.cars.co.za/for-sale/used/2022-Audi-A4-2.0-TDI-Auto-S-Line--35-TDI-Gauteng-Bryanston/10685980/,22900,USD,22900,1,https://www.beforward.jp/audi/a4/cc336561/id/14355211/?mfg_year_from=2022,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,japan,1
audi-e-tron-2022,Audi,e-tron,2022,suv,high,ZA,uk,verified-source-backed,959950,ZAR,959950,1,https://www.cars.co.za/for-sale/used/2022-Audi-e-tron-55-Advanced-Gauteng-Rivonia/10894870/,22990,GBP,22990,1,https://www.autotrader.co.uk/cars/used/audi/e-tron/2022,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | The source sample comes from a UK year stock page with multiple 2022 e-tron trims and body styles. | No licensed image has been attached yet.,ZA,uk,1
audi-q5-2020,Audi,Q5,2020,suv,high,ZA,uae,verified-source-backed,449000|459900|499995,ZAR,459900,3,https://www.autotrader.co.za/car-for-sale/audi/q5/40tdi/28477429 | https://www.autotrader.co.za/car-for-sale/audi/q5/40tdi/28504608 | https://www.autotrader.co.za/car-for-sale/audi/q5/40tdi/28251147,18900|23300|21600,USD,21600,3,https://www.dubicars.com/dubai/used/audi/q5/2020 | https://www.dubicars.com/uae/used/audi/q5/2020,pending-licensed-image,false,"The local sample is diesel-heavy while the UAE source sample is petrol-heavy, so trim and powertrain normalization is still needed. | Only South Africa and Kenya local-market evidence are verified so far. | No licensed image has been attached yet.",ZA|KE,uae|japan,2
bmw-3-series-2008,BMW,3 Series,2008,sedan,high,ZA,japan,verified-source-backed,149990,ZAR,149990,1,https://www.cars.co.za/for-sale/used/2008-BMW-3-Series-320d-M-Sport-Auto-Gauteng-Vereeniging/9997035/,1790,USD,1790,1,https://www.beforward.jp/bmw/3-series/cb027152/id/13104569/,pending-licensed-image,false,"Local sample is 320d diesel while the source sample is 320i petrol, so powertrain normalization is still needed. | Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.",ZA,japan,1
bmw-3-series-2012,BMW,3 Series,2012,sedan,high,ZA,japan,verified-source-backed,139900,ZAR,139900,1,https://www.cars.co.za/for-sale/used/2012-BMW-3-Series-320d-Innovation-Auto-Gauteng-Roodepoort/10746855/,3050,USD,3050,1,https://www.beforward.jp/bmw/3-series/cb083621/id/13146552/,pending-licensed-image,false,"Local sample is 320d diesel while the source sample is 320i petrol, so powertrain normalization is still needed. | Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.",ZA,japan,1
bmw-3-series-2016,BMW,3 Series,2016,sedan,high,ZA,japan,verified-source-backed,122900,ZAR,122900,1,https://www.cars.co.za/for-sale/used/2016-BMW-3-Series-320i-M-Sport-Auto-Gauteng-Centurion/10449497/,8980,USD,8980,1,https://www.beforward.jp/sw/bmw/3-series/by429088/id/11576960/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,japan,1
bmw-3-series-2019,BMW,3 Series,2019,sedan,high,ZA,korea,verified-source-backed,449995,ZAR,449995,1,https://www.cars.co.za/for-sale/used/2019-BMW-3-Series-320i-M-Sport-Launch-Edition-Gauteng-Pretoria/9485251/,12100,USD,12100,1,https://www.beforward.jp/bmw/3-series/cb114332/id/13186483/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-3-series-2022,BMW,3 Series,2022,sedan,high,ZA,korea,verified-source-backed,629900,ZAR,629900,1,https://www.cars.co.za/for-sale/used/2022-BMW-3-Series-320d-M-Sport-Gauteng-Sandton/10407989/,24302,USD,24302,1,https://www.beforward.jp/bmw/3-series/cc803763/id/14825728/?mfg_year_from=2022,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-3-series-2024,BMW,3 Series,2024,sedan,high,ZA,korea,verified-source-backed,779900,ZAR,779900,1,https://www.autotrader.co.za/car-for-sale/bmw/3-series/320i/28458012,34078,USD,34078,1,https://www.beforward.jp/ar/bmw/3-series/ca025311/id/12106814/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-5-series-2008,BMW,5 Series,2008,sedan,high,ZA,korea,verified-source-backed,149900,ZAR,149900,1,https://www.cars.co.za/for-sale/used/2008-BMW-5-Series-525i-M-Sport-Auto-Gauteng-Johannesburg/9973306/,4840,USD,4840,1,https://www.beforward.jp/bmw/5-series/cb096406/id/13153548/?mfg_year_from=2008,pending-licensed-image,false,"The source sample is a generic 2008 BMW 5 Series sedan from Korea rather than an exact 525i M Sport match, so trim normalization is still needed. | Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.",ZA,korea,1
bmw-5-series-2012,BMW,5 Series,2012,sedan,high,ZA,korea,verified-source-backed,149900,ZAR,149900,1,https://www.cars.co.za/for-sale/used/2012-BMW-5-Series-520d-Auto-Gauteng-Randburg/10699208/,4393,USD,4393,1,https://www.beforward.jp/ge/bmw/5-series/by782329/id/11934226/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-5-series-2016,BMW,5 Series,2016,sedan,high,ZA,korea,verified-source-backed,329900,ZAR,329900,1,https://www.cars.co.za/for-sale/used/2016-BMW-5-Series-520d-M-Sport-Auto-Gauteng-Pretoria/10571699/,7220,USD,7220,1,https://www.beforward.jp/pt/bmw/5-series/by745250/id/11896636/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-5-series-2019,BMW,5 Series,2019,sedan,high,ZA,korea,verified-source-backed,399900,ZAR,399900,1,https://www.cars.co.za/for-sale/used/2019-BMW-5-Series-520d-M-Sport-Gauteng-Rosettenville/10768238/,20596,USD,20596,1,https://www.beforward.jp/fr/bmw/5-series/ca061161/id/12143552/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-5-series-2022,BMW,5 Series,2022,sedan,high,ZA,korea,verified-source-backed,669000,ZAR,669000,1,https://www.cars.co.za/for-sale/used/2022-BMW-5-Series-520d-M-Sport-Auto-Gauteng-Sandton/10519811/,25866,USD,25866,1,https://www.beforward.jp/bmw/5-series/cc600853/id/14621547/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-5-series-2024,BMW,5 Series,2024,sedan,high,ZA,korea,verified-source-backed,949950,ZAR,949950,1,https://www.cars.co.za/for-sale/used/2024-BMW-5-Series-520d-M-Sport-Mpumalanga-Nelspruit/10869291/,42881,USD,42881,1,https://www.beforward.jp/fr/bmw/5-series/ca368081/id/12452849/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-i4-2022,BMW,i4,2022,sedan,high,ZA,uk,verified-source-backed,879900,ZAR,879900,1,https://www.autotrader.co.za/car-for-sale/bmw/i4/m50/28462288,24595,GBP,24595,1,https://www.autotrader.co.uk/cars/used/bmw/i4/2022,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | The source sample comes from a UK year stock page with multiple 2022 i4 stock items. | No licensed image has been attached yet.,ZA,uk,1
bmw-i4-2024,BMW,i4,2024,sedan,high,ZA,uk,verified-source-backed,1029950,ZAR,1029950,1,https://www.autotrader.co.za/car-for-sale/bmw/i4/edrive35/28143966,25500,GBP,25500,1,https://www.autotrader.co.uk/cars/used/bmw/i4/2024,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | The source sample comes from a UK year stock page rather than a single VIN-specific listing. | No licensed image has been attached yet.,ZA,uk,1
bmw-i4-2025,BMW,i4,2025,sedan,high,ZA,uk,verified-source-backed,1399500,ZAR,1399500,1,https://www.autotrader.co.za/car-for-sale/bmw/i4/m50/28260137,36500,GBP,36500,1,https://www.autotrader.co.uk/cars/used/bmw/i4/2025,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | The source sample comes from a UK year stock page with mixed 2025 i4 stock and prices. | No licensed image has been attached yet.,ZA,uk,1
bmw-ix-2024,BMW,iX,2024,suv,high,ZA,uk,verified-source-backed,989900,ZAR,989900,1,https://www.autotrader.co.za/car-for-sale/bmw/ix/xdrive40/28486125,32950,GBP,32950,1,https://www.autotrader.co.uk/cars/used/bmw/ix/2024,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | The source sample comes from a UK 2024 iX year page with mixed xDrive40 and xDrive50 stock. | No licensed image has been attached yet.,ZA,uk,1
bmw-ix-m60-2024,BMW,iX M60,2024,suv,high,ZA,uk,verified-source-backed,2238900,ZAR,2238900,1,https://www.autotrader.co.za/car-for-sale/bmw/ix/m60/27967650,46350,GBP,46350,1,https://www.autotrader.co.uk/cars/used/bmw/ix/m60,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | The source sample comes from a UK iX M60 landing page rather than a single VIN-specific listing. | No licensed image has been attached yet.,ZA,uk,1
bmw-ix1-2024,BMW,iX1,2024,suv,high,ZA,uk,verified-source-backed,1049900,ZAR,1049900,1,https://www.autotrader.co.za/car-for-sale/bmw/ix1/xdrive30/28499720,24995,GBP,24995,1,https://www.autotrader.co.uk/cars/used/bmw/suv/ix1/2024,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | The source sample comes from a UK 2024 iX1 year page with mixed stock. | No licensed image has been attached yet.,ZA,uk,1
bmw-ix3-2022,BMW,iX3,2022,suv,high,ZA,uk,verified-source-backed,599900,ZAR,599900,1,https://www.autotrader.co.za/car-for-sale/bmw/ix3/m-sport/28496954,24990,GBP,24990,1,https://www.autotrader.co.uk/cars/used/bmw/suv/electric/ix3/2022,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | The source sample comes from a UK year stock page with mixed 2022 iX3 trims. | No licensed image has been attached yet.,ZA,uk,1
bmw-ix3-2023,BMW,iX3,2023,suv,high,ZA,uk,verified-source-backed,749900,ZAR,749900,1,https://www.cars.co.za/for-sale/used/2023-BMW-iX3-Kwazulu-Natal-Umhlanga-Rocks/10693072/,32950,GBP,32950,1,https://www.autotrader.co.uk/cars/used/bmw/ix3/2023,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | The source sample comes from a UK year stock page rather than a single VIN-specific listing. | No licensed image has been attached yet.,ZA,uk,1
bmw-ix3-2024,BMW,iX3,2024,suv,high,ZA,uk,verified-source-backed,1049990,ZAR,1049990,1,https://www.autotrader.co.za/car-for-sale/bmw/ix3/m-sport/28508092,32990,GBP,32990,1,https://www.autotrader.co.uk/cars/used/bmw/ix3/2024,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | The source sample comes from a UK year stock page with mixed 2024 iX3 trims. | No licensed image has been attached yet.,ZA,uk,1
bmw-x5-2007,BMW,X5,2007,suv,high,ZA,uk,verified-source-backed,92900,ZAR,92900,1,https://www.cars.co.za/for-sale/used/2007-BMW-X5-3.0d-Auto-Gauteng-Centurion/10562123/,8210,USD,8210,1,https://www.beforward.jp/fr/bmw/x5/ca483726/id/12569891/,pending-licensed-image,false,"The source sample is a generic automatic diesel X5 rather than an exact 3.0d trim match, so trim normalization is still needed. | Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.",ZA,uk,1
bmw-x5-2010,BMW,X5,2010,suv,high,ZA,uk,verified-source-backed,129900,ZAR,129900,1,https://www.autotrader.co.za/car-for-sale/bmw/x5/xdrive30d/28503221,11490,USD,11490,1,https://www.beforward.jp/pt/bmw/x5/by850351/id/12002780/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,uk,1
bmw-x5-2014,BMW,X5,2014,suv,high,ZA,japan,verified-source-backed,429900,ZAR,429900,1,https://www.autotrader.co.za/car-for-sale/bmw/x5/xdrive30d/28245115,15970,USD,15970,1,https://www.beforward.jp/ge/bmw/x5/ca033670/id/12114618/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,japan,1
bmw-x5-2018,BMW,X5,2018,suv,high,ZA,uae,verified-source-backed,479990|529900|649900,ZAR,529900,3,https://www.autotrader.co.za/car-for-sale/bmw/x5/xdrive30d/28415131 | https://www.autotrader.co.za/car-for-sale/bmw/x5/xdrive40d/28489255 | https://www.autotrader.co.za/car-for-sale/bmw/x5/xdrive30d/28456406,30100|28610|25885|32425|32425,USD,30100,5,https://www.dubicars.com/dubai/used/bmw/x5-series/2018 | https://www.dubicars.com/abu-dhabi/used/bmw/x5/2018,pending-licensed-image,false,The staged sample spans multiple X5 trims and engine variants and should stay trim-normalized if promoted beyond staging. | Only South Africa and Kenya local-market evidence are verified so far. | No licensed image has been attached yet.,ZA|KE,uae|korea,2
bmw-x5-2021,BMW,X5,2021,suv,high,ZA,korea,verified-source-backed,1289900,ZAR,1289900,1,https://www.autotrader.co.za/car-for-sale/bmw/x5/m50i/28505304,75221,USD,75221,1,https://www.beforward.jp/pt/bmw/x5/ca457688/id/12543727/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-x5-2023,BMW,X5,2023,suv,high,NG,korea,verified-source-backed,120015000,NGN,120015000,1,https://autochek.africa/ng/car/x5-bmw-ref-Xo1LcCNRr,98365,USD,98365,1,https://www.beforward.jp/fr/bmw/x5/by869837/id/12022427/,pending-licensed-image,false,Only one Nigeria local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,NG,korea,1
byd-atto-3-2023,BYD,Atto 3,2023,suv,high,ZA,uk,verified-source-backed,699900,ZAR,699900,1,https://www.cars.co.za/newcars/BYD/Atto-3/Standard-Range/,18698|19390|19100|18990|18699,GBP,18990,5,https://www.autotrader.co.uk/cars/used/byd/atto-3/2023,pending-licensed-image,false,The local sample comes from a South Africa new-car pricing page rather than a used listing. | Only South Africa local-market evidence is verified so far. | No licensed image has been attached yet.,ZA,uk,1
byd-atto-3-2024,BYD,Atto 3,2024,suv,high,ZA,uk,verified-source-backed,569890|549890|699890,ZAR,569890,3,https://www.cars.co.za/for-sale/used/2024-BYD-Atto-3-Standard-Kwazulu-Natal-Umhlanga-Rocks/10760996/ | https://www.cars.co.za/for-sale/used/2024-BYD-Atto-3-BYD-Atto-3-Extended-Kwazulu-Natal-Ballito/9599965/ | https://www.cars.co.za/usedcars/BYD/Atto-3/,18899|20998|21100,GBP,20998,3,https://www.autotrader.co.uk/cars/used/byd/atto-3/2024,pending-licensed-image,false,Only South Africa local-market evidence is verified so far. | The staged source samples span UK used-market and Singapore price-list evidence and should stay market-normalized if promoted beyond staging. | No licensed image has been attached yet.,ZA,uk|singapore,2
byd-atto-3-2025,BYD,Atto 3,2025,suv,high,ZA,uk,verified-source-backed,669900,ZAR,669900,1,https://www.cars.co.za/for-sale/new/2025-BYD-Atto-3-Standard-Gauteng-Pretoria/10602640/,25498,GBP,25498,1,https://www.autotrader.co.uk/cars/used/byd/suv/electric/atto-3/2025,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,uk,1
byd-dolphin-2024,BYD,Dolphin,2024,hatchback,high,ZA,uk,verified-source-backed,429900|435900,ZAR,432900,2,https://www.cars.co.za/for-sale/used/2024-BYD-Dolphin-Standard-Kwazulu-Natal-Durban/10479294/ | https://www.cars.co.za/for-sale/used/2024-BYD-Dolphin-Standard-Range---Auto-Gauteng-Johannesburg/10689213/,14495|18100|17299|17025,GBP,17162,4,https://www.autotrader.co.uk/cars/used/byd/dolphin/2024,pending-licensed-image,false,Only South Africa local-market evidence is verified so far. | The staged source samples span UK used-market and Singapore price-list evidence and should stay market-normalized if promoted beyond staging. | No licensed image has been attached yet.,ZA,uk|singapore,2
