original_batch_index,name,slug,country,category,reference_url,backup_reference_url,save_folder,filename,dimensions,format,prompt,notes
3,EBS TV,ebs-tv,ET,"Entertainment, Lifestyle",https://instagram.com/ebstv_worldwide,https://youtube.com/@EBSTVEthiopia,/assets/img/afrostream/creators/,ebs-tv-avatar.webp,400x400,WebP,"Create a close AfroStream cartoon avatar for EBS TV, profile badge or group/channel caricature. Use the reference image supplied separately if available, or use public-profile visual cues for the person/channel. Capture recognizable cues: logo colors, channel mood, group silhouette, recurring outfit or color cues, and profile composition. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: ET; Entertainment, Lifestyle. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Reference is for human lookup or manual upload, not for the image prompt to browse. Primary reference: https://instagram.com/ebstv_worldwide; backup: https://youtube.com/@EBSTVEthiopia. If ChatGPT cannot retrieve links, upload/screenshot the reference image first, then paste only the prompt."
4,Kevin Richardson,kevin-richardson,ZA,"Education, Lifestyle, IRL",https://instagram.com/lionwhisperersa,https://youtube.com/@LionWhispererTV,/assets/img/afrostream/creators/,kevin-richardson-avatar.webp,400x400,WebP,"Create a close AfroStream cartoon avatar for Kevin Richardson, single-person caricature portrait. Use the reference image supplied separately if available, or use public-profile visual cues for the person/channel. Capture recognizable cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and public profile vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: ZA; Education, Lifestyle, IRL. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Reference is for human lookup or manual upload, not for the image prompt to browse. Primary reference: https://instagram.com/lionwhisperersa; backup: https://youtube.com/@LionWhispererTV. If ChatGPT cannot retrieve links, upload/screenshot the reference image first, then paste only the prompt."
5,Marioo,marioo,TZ,"Music, Entertainment",https://instagram.com/marioo,https://youtube.com/@MariooOfficial,/assets/img/afrostream/creators/,marioo-avatar.webp,400x400,WebP,"Create a close AfroStream cartoon avatar for Marioo, single-person caricature portrait. Use the reference image supplied separately if available, or use public-profile visual cues for the person/channel. Capture recognizable cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and public profile vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: TZ; Music, Entertainment. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Reference is for human lookup or manual upload, not for the image prompt to browse. Primary reference: https://instagram.com/marioo; backup: https://youtube.com/@MariooOfficial. If ChatGPT cannot retrieve links, upload/screenshot the reference image first, then paste only the prompt."
27,Faycel Sghir,faycel-sghir,MA,"Music, Entertainment",https://instagram.com/faycelsghir,https://youtube.com/@FaycelSghirOfficiel,/assets/img/afrostream/creators/,faycel-sghir-avatar.webp,400x400,WebP,"Create a close AfroStream cartoon avatar for Faycel Sghir, single-person caricature portrait. Use the reference image supplied separately if available, or use public-profile visual cues for the person/channel. Capture recognizable cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and public profile vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: MA; Music, Entertainment. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Reference is for human lookup or manual upload, not for the image prompt to browse. Primary reference: https://instagram.com/faycelsghir; backup: https://youtube.com/@FaycelSghirOfficiel. If ChatGPT cannot retrieve links, upload/screenshot the reference image first, then paste only the prompt."
28,Flenn,flenn,DZ,"Music, Entertainment",https://instagram.com/flenn,https://youtube.com/@flennofficial,/assets/img/afrostream/creators/,flenn-avatar.webp,400x400,WebP,"Create a close AfroStream cartoon avatar for Flenn, single-person caricature portrait. Use the reference image supplied separately if available, or use public-profile visual cues for the person/channel. Capture recognizable cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and public profile vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: DZ; Music, Entertainment. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Reference is for human lookup or manual upload, not for the image prompt to browse. Primary reference: https://instagram.com/flenn; backup: https://youtube.com/@flennofficial. If ChatGPT cannot retrieve links, upload/screenshot the reference image first, then paste only the prompt."
29,Steve Mweusi,steve-mweusi,TZ,"Entertainment, Comedy",https://youtube.com/@SteveMweusi,https://www.google.com/search?tbm=isch&q=Steve%20Mweusi%20TZ%20official%20profile%20portrait,/assets/img/afrostream/creators/,steve-mweusi-avatar.webp,400x400,WebP,"Create a close AfroStream cartoon avatar for Steve Mweusi, single-person caricature portrait. Use the reference image supplied separately if available, or use public-profile visual cues for the person/channel. Capture recognizable cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and public profile vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: TZ; Entertainment, Comedy. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Reference is for human lookup or manual upload, not for the image prompt to browse. Primary reference: https://youtube.com/@SteveMweusi; backup: https://www.google.com/search?tbm=isch&q=Steve%20Mweusi%20TZ%20official%20profile%20portrait. If ChatGPT cannot retrieve links, upload/screenshot the reference image first, then paste only the prompt."
30,Sauti Sol,sauti-sol,KE,"Music, Entertainment",https://instagram.com/sautisol,https://youtube.com/@SautiSol,/assets/img/afrostream/creators/,sauti-sol-avatar.webp,400x400,WebP,"Create a close AfroStream cartoon avatar for Sauti Sol, profile badge or group/channel caricature. Use the reference image supplied separately if available, or use public-profile visual cues for the person/channel. Capture recognizable cues: logo colors, channel mood, group silhouette, recurring outfit or color cues, and profile composition. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Music, Entertainment. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Reference is for human lookup or manual upload, not for the image prompt to browse. Primary reference: https://instagram.com/sautisol; backup: https://youtube.com/@SautiSol. If ChatGPT cannot retrieve links, upload/screenshot the reference image first, then paste only the prompt."
31,Innoss'B,innossb,CD,"Music, Entertainment",https://instagram.com/innossb,https://youtube.com/@InnossBOfficial,/assets/img/afrostream/creators/,innossb-avatar.webp,400x400,WebP,"Create a close AfroStream cartoon avatar for Innoss'B, single-person caricature portrait. Use the reference image supplied separately if available, or use public-profile visual cues for the person/channel. Capture recognizable cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and public profile vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: CD; Music, Entertainment. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Reference is for human lookup or manual upload, not for the image prompt to browse. Primary reference: https://instagram.com/innossb; backup: https://youtube.com/@InnossBOfficial. If ChatGPT cannot retrieve links, upload/screenshot the reference image first, then paste only the prompt."
32,L7or,l7or,MA,"Music, Entertainment",https://instagram.com/l7or75,https://youtube.com/@L7or,/assets/img/afrostream/creators/,l7or-avatar.webp,400x400,WebP,"Create a close AfroStream cartoon avatar for L7or, single-person caricature portrait. Use the reference image supplied separately if available, or use public-profile visual cues for the person/channel. Capture recognizable cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and public profile vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: MA; Music, Entertainment. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Reference is for human lookup or manual upload, not for the image prompt to browse. Primary reference: https://instagram.com/l7or75; backup: https://youtube.com/@L7or. If ChatGPT cannot retrieve links, upload/screenshot the reference image first, then paste only the prompt."
33,Stonebwoy,stonebwoy,GH,"Music, Entertainment",https://instagram.com/stonebwoyb,https://youtube.com/@Stonebwoy,/assets/img/afrostream/creators/,stonebwoy-avatar.webp,400x400,WebP,"Create a close AfroStream cartoon avatar for Stonebwoy, single-person caricature portrait. Use the reference image supplied separately if available, or use public-profile visual cues for the person/channel. Capture recognizable cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and public profile vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: GH; Music, Entertainment. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Reference is for human lookup or manual upload, not for the image prompt to browse. Primary reference: https://instagram.com/stonebwoyb; backup: https://youtube.com/@Stonebwoy. If ChatGPT cannot retrieve links, upload/screenshot the reference image first, then paste only the prompt."
