"order","id","type","priority","name","route","path","dimensions","reference_image","alt","locale_reuse","status","reason","prompt"
"1","recipe-dounguouri-soko-ne","recipe-hero","100","Dounguouri Soko","/tools/afrokitchen/recipes/dounguouri-soko-ne/","/assets/img/kitchen/dounguouri-soko-ne.webp","1200x800","","Dounguouri Soko from Niger","true","pending","Visual mismatch: chicken/vegetable stew resembles Igisafuliya; catalog requires white beans and lamb.","Create one realistic editorial food photograph of Dounguouri Soko from Niger. Recipe brief: Nigerien white bean and lamb stew cooked with onion, tomato, pepper, garlic, and a slow savory sauce. Main ingredients from the saved recipe: white beans, lamb, onions, blended, blended, tomatoes, garlic, tomato paste, peanut oil. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients. Replacement required: Visual mismatch: chicken/vegetable stew resembles Igisafuliya; catalog requires white beans and lamb. Deliver WebP under the exact destination filename."
"2","recipe-malva-pudding-za","recipe-hero","100","Malva Pudding","/tools/afrokitchen/recipes/malva-pudding-za/","/assets/img/kitchen/malva-pudding-za.webp","1200x800","","Malva Pudding from South Africa","true","pending","Visual mismatch: leaf-wrapped savoury food, not the catalogued sauce-soaked apricot sponge pudding.","Create one realistic editorial food photograph of Malva Pudding from South Africa. Recipe brief: A warm South African baked pudding flavored with apricot jam, then soaked with a buttery cream sauce. Main ingredients from the saved recipe: cake flour, sugar, egg, apricot jam, bicarbonate of soda, vinegar, butter, milk, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients. Replacement required: Visual mismatch: leaf-wrapped savoury food, not the catalogued sauce-soaked apricot sponge pudding. Deliver WebP under the exact destination filename."
"3","recipe-sahrawi-couscous-eh","recipe-hero","100","Sahrawi Vegetable Couscous","/tools/afrokitchen/recipes/sahrawi-couscous-eh/","/assets/img/kitchen/sahrawi-couscous-eh.webp","1200x800","","Sahrawi Vegetable Couscous from Western Sahara","true","pending","Severely pixelated thumbnail; insufficient resolution for a recipe hero.","Create one realistic editorial food photograph of Sahrawi Vegetable Couscous from Western Sahara. Recipe brief: Sahrawi vegetable couscous steamed with onion, carrot, turnip, squash, chickpeas, olive oil, and light broth. Main ingredients from the saved recipe: medium couscous, carrots, turnips, pumpkin or squash, onion, olive oil, water or vegetable broth, salt and black pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients. Replacement required: Severely pixelated thumbnail; insufficient resolution for a recipe hero. Deliver WebP under the exact destination filename."
"4","tool-paye-authority-finder","tool-card","86","PAYE Authority Finder","/tools/paye-authority-finder/","/assets/img/tools/paye-authority-finder.webp","1200x630","","Concept illustration for PAYE Authority Finder","true","pending","No image for the registry artwork id in any existing extension.","Create a restrained editorial concept illustration for AfroTools PAYE Authority Finder. Purpose: Resolve MRA, ERS, ZRA, URA, LRA or RSL to the correct country, currency, tax-year label and canonical PAYE calculator.. Communicate the core task through a few recognisable physical objects or simple unlabelled shapes, accurate proportions and a calm neutral surface with a restrained blue accent. Avoid a fake app screenshot or fabricated output. Show relevant contemporary African context only when the task calls for it; avoid stereotypical patterns, flags or generic continent silhouettes. Landscape 1200x630, central subject within 80% safe crop, clear at thumbnail size. Absolutely no text, digits, currency symbols, lettering, logos, watermarks, charts with invented values or claims of official endorsement. Same artwork will serve matching translated pages; labels remain in HTML. Deliver WebP under the exact destination filename."
"5","recipe-afang-soup-ng","recipe-hero","75","Afang Soup","/tools/afrokitchen/recipes/afang-soup-ng/","/assets/img/kitchen/afang-soup-ng.webp","1200x800","","Afang Soup from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Afang Soup from Nigeria. Recipe brief: Efik-Ibibio vegetable soup with shredded afang leaves, waterleaf, palm oil, meat, stockfish, crayfish, and periwinkles. Main ingredients from the saved recipe: assorted meat, stockfish or dried fish, waterleaf, afang or okazi leaves, red palm oil, ground crayfish, scotch bonnet peppers, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"6","recipe-agatogo-rw","recipe-hero","75","Agatogo","/tools/afrokitchen/recipes/agatogo-rw/","/assets/img/kitchen/agatogo-rw.webp","1200x800","","Agatogo from Rwanda","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Agatogo from Rwanda. Recipe brief: Agatogo is a main dish with green banana and beef, tomato and peanut. Serve Main ingredients from the saved recipe: green banana and beef, oil, onion, tomatoes, tomato and peanut, stock or water, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"7","recipe-akoume-tg","recipe-hero","75","Akoumé","/tools/afrokitchen/recipes/akoume-tg/","/assets/img/kitchen/akoume-tg.webp","1200x800","","Akoumé from Togo","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Akoumé from Togo. Recipe brief: Togolese akoumé, a firm corn-flour dough shaped into a smooth mound and served with rich sauces. Main ingredients from the saved recipe: fine corn flour, water, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"8","recipe-asida","recipe-hero","75","Asida","/tools/afrokitchen/recipes/asida/","/assets/img/kitchen/asida.webp","1200x800","","Asida from South Sudan","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Asida from South Sudan. Recipe brief: South Sudanese asida, a smooth dome of sorghum, millet, or maize flour served with stew in the center. Main ingredients from the saved recipe: sorghum, millet, or maize flour, water, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"9","recipe-asida-south-sudan-ss","recipe-hero","75","South Sudanese Asida","/tools/afrokitchen/recipes/asida-south-sudan-ss/","/assets/img/kitchen/asida-south-sudan-ss.webp","1200x800","","South Sudanese Asida from South Sudan","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of South Sudanese Asida from South Sudan. Recipe brief: South Sudanese Asida is a starch with sorghum or wheat flour, hot water and salt. Serve Main ingredients from the saved recipe: sorghum or wheat flour, water, hot water and salt, salt, butter, oil, or sugar. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"10","recipe-badjia-mz","recipe-hero","75","Badjia","/tools/afrokitchen/recipes/badjia-mz/","/assets/img/kitchen/badjia-mz.webp","1200x800","","Badjia from Mozambique","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Badjia from Mozambique. Recipe brief: Badjia is a snack with black-eyed pea paste, onion and chili. Serve Main ingredients from the saved recipe: black-eyed pea paste, egg or flax slurry, onion and chili, salt, water, oil. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
