exam,subject,year,source_records,published_records,held_records,expected_paper_questions,complete_paper,status
JAMB,english,2026,0,0,0,,false,source-needed
JAMB,english,2025,0,0,0,,false,source-needed
JAMB,english,2024,0,0,0,,false,source-needed
JAMB,english,2023,0,0,0,,false,source-needed
JAMB,english,2022,0,0,0,,false,source-needed
JAMB,english,2021,0,0,0,,false,source-needed
JAMB,english,2020,59,43,16,,false,partial-compilation
JAMB,english,2019,30,30,0,,false,partial-compilation
JAMB,english,2018,59,36,23,,false,partial-compilation
JAMB,english,2017,23,23,0,,false,partial-compilation
JAMB,english,2016,21,21,0,,false,partial-compilation
JAMB,english,2015,114,41,73,,false,partial-compilation
JAMB,english,2014,66,46,20,,false,partial-compilation
JAMB,english,2013,75,48,27,,false,partial-compilation
JAMB,english,2012,72,51,21,,false,partial-compilation
JAMB,english,2011,74,51,23,,false,partial-compilation
JAMB,english,2010,72,48,24,,false,partial-compilation
JAMB,english,2009,76,41,35,,false,partial-compilation
JAMB,english,2008,52,33,19,,false,partial-compilation
JAMB,english,2007,68,35,33,,false,partial-compilation
JAMB,english,2006,47,47,0,,false,partial-compilation
JAMB,english,2005,39,39,0,,false,partial-compilation
JAMB,english,2004,173,56,117,,false,partial-compilation
JAMB,english,2003,47,40,7,,false,partial-compilation
JAMB,english,2002,88,43,45,,false,partial-compilation
JAMB,english,2001,51,46,5,,false,partial-compilation
JAMB,english,2000,72,61,11,,false,partial-compilation
JAMB,english,1999,81,59,22,,false,partial-compilation
JAMB,english,1998,195,50,145,,false,partial-compilation
JAMB,english,1997,64,56,8,,false,partial-compilation
JAMB,english,1995,112,43,69,,false,partial-compilation
JAMB,english,1994,65,61,4,,false,partial-compilation
JAMB,english,1993,74,62,12,,false,partial-compilation
JAMB,english,1992,212,57,155,,false,partial-compilation
JAMB,english,1991,159,72,87,,false,partial-compilation
JAMB,english,1990,159,70,89,,false,partial-compilation
JAMB,english,1989,95,78,17,,false,partial-compilation
JAMB,english,1988,250,74,176,,false,partial-compilation
JAMB,english,1987,96,70,26,,false,partial-compilation
JAMB,english,1986,234,69,165,,false,partial-compilation
JAMB,english,1985,102,75,27,,false,partial-compilation
JAMB,english,1984,92,63,29,,false,partial-compilation
JAMB,english,1983,91,72,19,,false,partial-compilation
JAMB,english,1982,344,52,292,,false,partial-compilation
JAMB,english,1981,87,49,38,,false,partial-compilation
JAMB,english,1980,92,46,46,,false,partial-compilation
JAMB,english,1979,91,52,39,,false,partial-compilation
JAMB,english,1978,90,53,37,,false,partial-compilation
JAMB,mathematics,2026,0,0,0,,false,source-needed
JAMB,mathematics,2025,0,0,0,,false,source-needed
JAMB,mathematics,2024,0,0,0,,false,source-needed
JAMB,mathematics,2023,0,0,0,,false,source-needed
JAMB,mathematics,2022,0,0,0,,false,source-needed
JAMB,mathematics,2021,0,0,0,,false,source-needed
JAMB,mathematics,2004,25,22,3,,false,partial-compilation
JAMB,mathematics,2003,19,17,2,,false,partial-compilation
JAMB,mathematics,2002,27,22,5,,false,partial-compilation
JAMB,mathematics,2001,25,18,7,,false,partial-compilation
JAMB,mathematics,2000,23,17,6,,false,partial-compilation
JAMB,mathematics,1999,21,9,12,,false,partial-compilation
JAMB,mathematics,1998,29,22,7,,false,partial-compilation
JAMB,mathematics,1997,25,22,3,,false,partial-compilation
JAMB,mathematics,1995,31,22,9,,false,partial-compilation
JAMB,mathematics,1994,25,20,5,,false,partial-compilation
JAMB,mathematics,1993,18,16,2,,false,partial-compilation
JAMB,mathematics,1992,26,15,11,,false,partial-compilation
JAMB,mathematics,1991,25,21,4,,false,partial-compilation
JAMB,mathematics,1990,30,22,8,,false,partial-compilation
JAMB,mathematics,1989,27,21,6,,false,partial-compilation
JAMB,mathematics,1988,27,18,9,,false,partial-compilation
JAMB,mathematics,1987,29,19,10,,false,partial-compilation
JAMB,mathematics,1986,28,27,1,,false,partial-compilation
JAMB,mathematics,1985,30,24,6,,false,partial-compilation
JAMB,mathematics,1984,22,15,7,,false,partial-compilation
JAMB,mathematics,1983,23,13,10,,false,partial-compilation
