date,displayed_time,recipient,prospect,country,subject,channel,status,evidence,next_follow_up_date
2026-07-12,8:55 AM,thelabournews@gmail.com,The Labour News,Ghana,A practical calculator for your Ghana leave section,Hostinger Mail,sent,Message sent successfully notification and Sent folder item,2026-07-16
2026-07-12,8:56 AM,contactus@johnhillconsult.com,John Hill Consult,Ghana,Interactive leave tool for your Ghana employee guide,Hostinger Mail,sent,Message sent successfully notification and Sent folder item,2026-07-16
2026-07-12,8:56 AM,info@themarketsonlineng.com,TheMarketsOnlineNG,Nigeria,Interactive ROI follow-up to your poultry cost table,Hostinger Mail,sent,Message sent successfully notification and Sent folder item,2026-07-16
2026-07-12,8:56 AM,immax2005@gmail.com,NaijaOnlineBiz,Nigeria,A practical calculator for your Nigerian poultry guide,Hostinger Mail,sent,Message sent successfully notification and Sent folder item,2026-07-16
2026-07-12,8:57 AM,admin@agricbusiness.com.ng,AgricBusiness,Nigeria,Interactive ROI tool for your poultry budget guide,Hostinger Mail,sent,Message sent successfully notification and Sent folder item,2026-07-16
2026-07-12,10:02 AM,Yabrham571@gmail.com,Ethiolex,Ethiopia,Practical calculator alongside your Ethiopian annual-leave analysis,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:04 AM,solutions@labournet.com,LabourNet,South Africa,Interactive resource for your annual-leave accrual guide,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:05 AM,solutions@labournet.com,LabourNet,South Africa,Interactive resource for your annual-leave accrual guide,Hostinger Mail,duplicate sent,Hostinger Undo-state race produced a second Sent item; no further correction message sent,
2026-07-12,10:06 AM,admin@ceosa.org.za,Consolidated Employers Organisation,South Africa,Practical widget for your BCEA annual-leave article,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:06 AM,info@bizcraft.co.za,Bizcraft,South Africa,Interactive leave tool for your complete 2026 guide,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:06 AM,hanlie@labourguide.co.za,Labour Guide South Africa,South Africa,Interactive companion for your annual-leave guide,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:06 AM,solutions@basketadvisory.com,Basket Advisory,Uganda,Interactive companion for your Uganda employer guide,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:08 AM,nrjsolaire@nrjsolaire.sn,NRJ SOLAIRE / Observatoire National du Solaire,Senegal,Ressource comparative pour votre guide de dimensionnement,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:08 AM,Contact@nolabi.com,Nolabi Senegal,Senegal,Un calculateur interactif pour votre guide des prix solaires,Hostinger Mail,bounced,Mailer-Daemon reported 554 relay access denied,
2026-07-12,10:09 AM,contact@kolonell.com,Kolonell,Senegal,Un calculateur Senegal en complement de votre guide solaire,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:09 AM,info@uruattorneys.com,URU Attorneys,Tanzania,Public leave-planning resource for Tanzanian employers,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:09 AM,info@ardeanattorneys.co.tz,Ardean Law Chambers,Tanzania,Planning tool for the annual-leave payment section,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:10 AM,info@stabitadvocates.com,Stabit Advocates,Rwanda,Interactive companion to your Rwanda leave guide,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:10 AM,enquiries@mcmlegalpractice.com,MCM Legal Practitioners,Zambia,Practical companion to your Employment Code insight,Hostinger Mail,bounced,Mailer-Daemon reported recipient domain host not found,
2026-07-12,10:11 AM,info@zampay.biz,ZamPay,Zambia,Public leave calculator companion to your ECA guide,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:11 AM,sales@ffdpowerng.com,FFD POWER Nigeria,Nigeria,Diesel baseline tool for your commercial solar buyer guide,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:12 AM,info@brightpartners.ng,BrightPartners Energy Solutions,Nigeria,Complementary diesel-cost tool for your solar readiness workflow,Hostinger Mail,bounced,Mailer-Daemon reported recipient domain host not found,
2026-07-12,10:12 AM,info@offgrid.co.za,OffGrid.co.za,South Africa,Pan-African companion to your South Africa solar ROI guide,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:12 AM,hartbeespoort@allsolar.co.za,ALLSOLAR SA,South Africa,Interactive companion for your commercial solar payback guide,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:12 AM,solar@emersoneims.com,Emerson EiMS,Kenya,Kenya solar calculator resource partnership,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:13 AM,info@voltmaticenergysolutions.co.ke,Voltmatic Energy Solutions,Kenya,Interactive companion to your Solar ROI formula,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:13 AM,info.kwetucollections@gmail.com,Kwetu News,Kenya,Interactive calculator for your business solar cost table,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:13 AM,solarcityecoenergies0@gmail.com,Solar City Eco Energies,Kenya,A reader calculator for your Kenya solar pricing guide,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:14 AM,info@ecolinkpowersystems.com,Ecolink Power Systems,Kenya,Interactive follow-up for your Kenya solar payback guide,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:14 AM,lawpointuganda@gmail.com,Lawpoint Uganda,Uganda,Interactive resource for your annual-leave analysis,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,10:14 AM,info@kaa.co.ug,Kampala Associated Advocates,Uganda,Practical tool for your Uganda annual-leave article,Hostinger Mail,sent,Sent folder item and Drafts folder removal verified,2026-07-16
2026-07-12,4:04-4:22 PM,ecam@ecammw.com,Employers Consultative Association of Malawi,Malawi,Practical leave resource for ECAM member guidance,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,info@gambia-legal.com,Gambia Legal,Gambia,Planning tool beside your Gambia employment-law page,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,barristers@galngonehchambers.com,Gal Ngoneh Fambai Chambers,Gambia,Public leave calculator for your employment-law visitors,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
