id,source_domain,source_url,target_url,anchor_text,rel,placement_type,campaign_status,verified_at,notes
1,saashub.com,https://www.saashub.com/afrotools,https://afrotools.com/,Visit website,nofollow,product profile,pre-existing baseline,2026-07-12,"Live public profile; primary homepage link"
2,saashub.com,https://www.saashub.com/afrotools,https://afrotools.com/blog/,,nofollow,product profile,pre-existing baseline,2026-07-12,"Live public profile; official blog link"
3,saashub.com,https://www.saashub.com/afrotools,https://afrotools.com/tools/currency-converter/,Official Pricing,nofollow,product profile,pre-existing baseline,2026-07-12,"Link is live but mislabeled as pricing and should be corrected when the profile is claimed"
4,startupmapafrica.com,https://startupmapafrica.com/startups/afrotools,https://afrotools.com?utm_campaign=startup_directory&utm_medium=referral&utm_source=startupmapafrica,Visit Website,dofollow,startup profile,pre-existing baseline,2026-07-12,"Live public profile; rel contains only noopener noreferrer and does not contain nofollow; metadata needs to be claimed and corrected"
5,peerpush.com,https://peerpush.com/p/afrotools,https://afrotools.com/?utm_source=peerpush&ref=peerpush,Visit site,dofollow,product launch profile,pre-existing baseline,2026-07-12,"Live public profile published 2026-04-09; direct link rel contains only noopener and does not contain nofollow"
6,saashub.com,https://www.saashub.com/afrotools-alternatives,https://afrotools.com/,AfroTools,dofollow,alternative listing,pre-existing baseline,2026-07-12,"Live direct homepage link; rel attribute is empty"
7,saashub.com,https://www.saashub.com/afrotools-alternatives,https://afrotools.com/blog/,,nofollow,alternative listing,pre-existing baseline,2026-07-12,"Live blog link on AfroTools alternatives page"
8,saashub.com,https://www.saashub.com/afrotools-alternatives,https://afrotools.com/tools/currency-converter/,Official Pricing,nofollow,alternative listing,pre-existing baseline,2026-07-12,"Live but mislabeled currency-converter link"
9,saashub.com,https://www.saashub.com/afrotools-status,https://afrotools.com/,AfroTools,nofollow,status page,pre-existing baseline,2026-07-12,"Live homepage link on AfroTools status page"
10,saashub.com,https://www.saashub.com/cad-alternatives,https://afrotools.com/,AfroTools,nofollow,alternative listing,pre-existing baseline,2026-07-12,"Live homepage link on CAD alternatives page"
11,saashub.com,https://www.saashub.com/onelinetoolstack-alternatives,https://afrotools.com/,AfroTools,nofollow,alternative listing,pre-existing baseline,2026-07-12,"Live homepage link on OneLineToolStack alternatives page"
12,saashub.com,https://www.saashub.com/startups/south-africa,https://afrotools.com/,website,dofollow,startup directory list,pre-existing baseline,2026-07-12,"Live direct homepage link with no rel attribute; profile is incorrectly classified as South African and contains unsupported Cape Town, employee-count, release-year, tool-count, and always-free claims"
