scope,image_id,name,category,folder,filename,route,languages,tool_ids,prompt
"english-or-shared","fertilizer-algeria","Algeria Fertilizer Calculator","Agriculture","/assets/img/tools/","fertilizer-algeria.webp","/agriculture/fertilizer/algeria","en","fertilizer-algeria","Create an 800x450 WebP tool card image for AfroTools. Subject: Algeria Fertilizer Calculator. Category context: Agriculture. Show a practical African workflow scene or clean symbolic app illustration that matches the tool purpose. Use a polished modern editorial style, warm natural light, balanced composition, realistic African context where helpful, no readable text, no brand logos, no UI with fake words, no flags as the main subject, safe margins for card cropping."
"english-or-shared","seed-rate-dz","Algeria Seed Rate Calculator","Agriculture","/assets/img/tools/","seed-rate-dz.webp","/agriculture/seed-rate/algeria","en","seed-rate-dz","Create an 800x450 WebP tool card image for AfroTools. Subject: Algeria Seed Rate Calculator. Category context: Agriculture. Show a practical African workflow scene or clean symbolic app illustration that matches the tool purpose. Use a polished modern editorial style, warm natural light, balanced composition, realistic African context where helpful, no readable text, no brand logos, no UI with fake words, no flags as the main subject, safe margins for card cropping."
"english-or-shared","farm-payroll-angola","Angola Farm Worker Payroll Calculator","Agriculture","/assets/img/tools/","farm-payroll-angola.webp","/agriculture/farm-payroll/angola","en","farm-payroll-angola","Create an 800x450 WebP tool card image for AfroTools. Subject: Angola Farm Worker Payroll Calculator. Category context: Agriculture. Show a practical African workflow scene or clean symbolic app illustration that matches the tool purpose. Use a polished modern editorial style, warm natural light, balanced composition, realistic African context where helpful, no readable text, no brand logos, no UI with fake words, no flags as the main subject, safe margins for card cropping."
"english-or-shared","livestock-feed-angola","Angola Livestock Feed Calculator","Agriculture","/assets/img/tools/","livestock-feed-angola.webp","/agriculture/livestock-feed/angola","en","livestock-feed-angola","Create an 800x450 WebP tool card image for AfroTools. Subject: Angola Livestock Feed Calculator. Category context: Agriculture. Show a practical African workflow scene or clean symbolic app illustration that matches the tool purpose. Use a polished modern editorial style, warm natural light, balanced composition, realistic African context where helpful, no readable text, no brand logos, no UI with fake words, no flags as the main subject, safe margins for card cropping."
"english-or-shared","farm-payroll-benin","Benin Farm Worker Payroll Calculator","Agriculture","/assets/img/tools/","farm-payroll-benin.webp","/agriculture/farm-payroll/benin","en","farm-payroll-benin","Create an 800x450 WebP tool card image for AfroTools. Subject: Benin Farm Worker Payroll Calculator. Category context: Agriculture. Show a practical African workflow scene or clean symbolic app illustration that matches the tool purpose. Use a polished modern editorial style, warm natural light, balanced composition, realistic African context where helpful, no readable text, no brand logos, no UI with fake words, no flags as the main subject, safe margins for card cropping."
"english-or-shared","fertilizer-benin","Benin Fertilizer Calculator","Agriculture","/assets/img/tools/","fertilizer-benin.webp","/agriculture/fertilizer/benin","en","fertilizer-benin","Create an 800x450 WebP tool card image for AfroTools. Subject: Benin Fertilizer Calculator. Category context: Agriculture. Show a practical African workflow scene or clean symbolic app illustration that matches the tool purpose. Use a polished modern editorial style, warm natural light, balanced composition, realistic African context where helpful, no readable text, no brand logos, no UI with fake words, no flags as the main subject, safe margins for card cropping."
"english-or-shared","farm-profit-botswana","Botswana Farm Profit Calculator","Agriculture","/assets/img/tools/","farm-profit-botswana.webp","/agriculture/farm-profit/botswana","en","farm-profit-botswana","Create an 800x450 WebP tool card image for AfroTools. Subject: Botswana Farm Profit Calculator. Category context: Agriculture. Show a practical African workflow scene or clean symbolic app illustration that matches the tool purpose. Use a polished modern editorial style, warm natural light, balanced composition, realistic African context where helpful, no readable text, no brand logos, no UI with fake words, no flags as the main subject, safe margins for card cropping."
"english-or-shared","farm-payroll-botswana","Botswana Farm Worker Payroll Calculator","Agriculture","/assets/img/tools/","farm-payroll-botswana.webp","/agriculture/farm-payroll/botswana","en","farm-payroll-botswana","Create an 800x450 WebP tool card image for AfroTools. Subject: Botswana Farm Worker Payroll Calculator. Category context: Agriculture. Show a practical African workflow scene or clean symbolic app illustration that matches the tool purpose. Use a polished modern editorial style, warm natural light, balanced composition, realistic African context where helpful, no readable text, no brand logos, no UI with fake words, no flags as the main subject, safe margins for card cropping."
"english-or-shared","fertilizer-botswana","Botswana Fertilizer Calculator","Agriculture","/assets/img/tools/","fertilizer-botswana.webp","/agriculture/fertilizer/botswana","en","fertilizer-botswana","Create an 800x450 WebP tool card image for AfroTools. Subject: Botswana Fertilizer Calculator. Category context: Agriculture. Show a practical African workflow scene or clean symbolic app illustration that matches the tool purpose. Use a polished modern editorial style, warm natural light, balanced composition, realistic African context where helpful, no readable text, no brand logos, no UI with fake words, no flags as the main subject, safe margins for card cropping."
"english-or-shared","irrigation-botswana","Botswana Irrigation Calculator","Agriculture","/assets/img/tools/","irrigation-botswana.webp","/agriculture/irrigation/botswana","en","irrigation-botswana","Create an 800x450 WebP tool card image for AfroTools. Subject: Botswana Irrigation Calculator. Category context: Agriculture. Show a practical African workflow scene or clean symbolic app illustration that matches the tool purpose. Use a polished modern editorial style, warm natural light, balanced composition, realistic African context where helpful, no readable text, no brand logos, no UI with fake words, no flags as the main subject, safe margins for card cropping."
