set,familyId,familyType,confidence,sequence,sourceRoute,proposedFrenchRoute,executionWindow
"Set 127","tools::car-insurance","tools","A","1","tools/car-insurance/algeria","/fr/tools/assurance-auto/algeria","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","2","tools/car-insurance/angola","/fr/tools/assurance-auto/angola","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","3","tools/car-insurance/benin","/fr/tools/assurance-auto/benin","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","4","tools/car-insurance/botswana","/fr/tools/assurance-auto/botswana","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","5","tools/car-insurance/burkina-faso","/fr/tools/assurance-auto/burkina-faso","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","6","tools/car-insurance/burundi","/fr/tools/assurance-auto/burundi","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","7","tools/car-insurance/cabo-verde","/fr/tools/assurance-auto/cabo-verde","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","8","tools/car-insurance/cameroon","/fr/tools/assurance-auto/cameroon","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","9","tools/car-insurance/central-african-republic","/fr/tools/assurance-auto/central-african-republic","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","10","tools/car-insurance/chad","/fr/tools/assurance-auto/chad","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","11","tools/car-insurance/comoros","/fr/tools/assurance-auto/comoros","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","12","tools/car-insurance/congo-brazzaville","/fr/tools/assurance-auto/congo-brazzaville","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","13","tools/car-insurance/cote-d-ivoire","/fr/tools/assurance-auto/cote-d-ivoire","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","14","tools/car-insurance/djibouti","/fr/tools/assurance-auto/djibouti","immediate-top-150"
