priority,surface,route,current_28d_clicks,current_28d_impressions,current_ctr,current_position,previous_28d_clicks,previous_28d_impressions,previous_ctr,diagnosis,action_2026_08_16
1,Orange Money guide,/fr/blog/frais-orange-money-guide-2026/,54,14247,0.0038,8.00,32,6333,0.0051,"Fast impression growth but declining CTR; stale unsourced tables and weak Cameroon query match","Rebuilt from four official Orange country sources; aligned title and schema; removed unsupported claims"
2,French fuel family,/fr/tools/suivi-carburant/,29,13225,0.0022,8.90,16,3544,0.0045,"English body and schema attracted mixed English/French queries despite French routes","Rebuilt all 54 country pages as native French and retired the family fallback exemption"
3,Mobile-money comparison,/fr/blog/mobile-money-fees-africa-compared/,1,870,0.0011,8.71,2,550,0.0036,"Page classified native but contained English UI FAQ schema and unsupported continental comparisons","Added a deterministic French editorial owner and official Orange MTN Airtel and Safaricom sources"
4,Wave vs Orange Money Senegal,/fr/blog/wave-vs-orange-money-senegal-2026/,10,791,0.0126,7.68,11,594,0.0185,"Ranking article reversed current Wave transfer and withdrawal fees and cited no external source","Rebuilt around current Wave Orange Senegal and BCEAO sources; separated provider fees from tax; removed unsupported interoperability claims"
5,Senegal IRPP guide,/fr/blog/guide-irpp-senegal-2026/,5,368,0.0136,7.52,7,385,0.0182,"Unsourced article omitted the 43 percent band and used an incorrect unconditional family-parts assumption in worked examples","Rebuilt from Ministry of Finance DGID and DGTSS sources; removed invented examples; aligned the guide with the calculator's before-family-reduction boundary"
6,Salary Madagascar,/fr/madagascar/calculateur-salaire-net/,37,650,0.0569,5.90,12,369,0.0325,"Healthy intent match and CTR; useful model for expansion","Preserve source confidence and use as a benchmark for country-intent templates"
7,Salary Burkina Faso,/fr/burkina-faso/calculateur-salaire-net,21,945,0.0222,6.66,20,699,0.0286,"Strong demand with CTR softening","Review snippet against current salary and IUTS intent before expanding adjacent guides"
8,Salary Mali,/fr/mali/calculateur-salaire-net,14,435,0.0322,7.35,5,255,0.0196,"Growing clicks and healthy CTR","Scale only with verified national payroll sources"
9,Salary Benin,/fr/benin/calculateur-salaire-net/,13,383,0.0339,6.74,2,112,0.0179,"Growing qualified demand","Use as a source-backed country template benchmark"
10,Salary Guinea,/fr/guinee/calculateur-salaire-net,13,311,0.0418,7.60,5,177,0.0282,"Healthy qualified CTR","Use as a source-backed country template benchmark"
11,Teacher salary calculator,/fr/tools/salaire-enseignant/,6,495,0.0121,7.62,12,734,0.0163,"Ranking for national salary-grid queries despite being an offer and workload calculator","Aligned generator title schema heading and registry with the actual calculator; retained an explicit no-invented-grid boundary"
12,Salary Algeria,/fr/algerie/calculateur-salaire-net,1,359,0.0028,10.87,3,153,0.0196,"Impressions more than doubled while the calculator omitted statutory IRG salary abatements used an incorrect employer CNAS rate and silently transmitted salary data","Added a shared DGI/CNAS-reviewed engine and official source links; corrected abatements and employer split; made calculation and PDF local without email or AI salary transmission"
13,VAT Burkina Faso,/fr/burkina-faso/calculateur-tva,2,206,0.0097,8.26,2,124,0.0161,"Page-one impressions landed on a calculator and FAQ that falsely claimed there was no reduced VAT rate","Corrected the DGI Article 317 rate set; added the 10 percent accommodation and restaurant path behind an approved-establishment evidence gate; linked official DGI sources"
14,Explicit French gap shells,/fr/tools/,4,148,0.0270,0,0,0,0,"264 indexable preparation shells are not native end-to-end tools but only 23 appear in the GSC table; one irrelevant navigational query cluster contributes most impressions","Keep separate from the native-tool denominator; do not blanket noindex; promote or consolidate only when qualified query evidence and a complete French workflow exist"
15,RDC salary guide,/fr/blog/salaire-moyen-rdc-2026/,0,99,0,7.46,0,246,0,"Ranking guide promised a 2026 salary average but generated unsourced sector ranges and automatic city multipliers","Replaced invented ranges with the official 21,500 CDF daily SMIG and category-coefficient checker; linked the current decree and kept calculations local"
16,Nigeria salary guide,/fr/blog/average-salary-nigeria-2026/,0,48,0,7.62,0,45,0,"Page-one article published precise sector city remote-work and living-cost salary figures without one external source and falsely described the private offer comparator as anonymized market data","Rebuilt around the official 70,000 NGN minimum NBS survey boundaries and a reproducible offer-sampling method; removed invented market figures and corrected both local tool handoffs"
17,South Africa salary guide,/fr/blog/average-salary-south-africa-2026/,0,57,0,14.26,1,50,0.0200,"Unsourced guide invented sector and city ranges used a stale R27.58 minimum and falsely said agricultural and domestic workers generally had lower rates","Rebuilt from Stats SA QES R29,997 scoped formal-sector average and the March 2026 R30.23 Gazette floor; removed invented tables and corrected PAYE and offer-comparison handoffs"
