rank_order,id,name,href,category,category_label,status,language,score,rank,standard_status,improvement_priority,instance_count,benchmark_profile,competitors,required_missing,strong_missing,top_gaps
1,hospital-cost-ha,Kudin Asibiti,/ha/kayan-aiki/kudin-asibiti/,health,Health & Wellness,live,ha,76,B,standard-grade,P3-monitor,1,Health and wellness estimator,WebMD calculators; NHS tools; Mayo Clinic references,disclaimer; sources,methodology; browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations
2,hospital-cost-yo,Ìṣirò owó ilé ìwòsàn,/yo/awon-ise/owo-ile-iwosan/,health,Health & Wellness,live,yo,76,B,standard-grade,P3-monitor,1,Health and wellness estimator,WebMD calculators; NHS tools; Mayo Clinic references,,currentYear; methodology; privacyLocal; browserOk,unclear primary action; no workflow or methodology evidence; browser smoke not run; missing official/verification evidence; stale or undated assumptions
3,ng-pension-ha,Kalkuletan Fansho Najeriya,/ha/kayan-aiki/fansho-najeriya/,financial,"Finance, Tax & Market Data",live,ha,76,B,standard-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,sources; currentYear,officialSource; businessCta; verificationPanel; browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; stale or undated assumptions; no verification panel
4,invoice-generator-yo,Kíriíro ìwé owó,/yo/awon-ise/kiriiro-invoice/,document-pdf,Document & PDF,live,yo,77,B,standard-grade,P3-monitor,1,PDF workflow utility,iLovePDF; Smallpdf; Adobe Acrobat online,fileUpload; download,batchWorkflow; browserOk,thin visible copy; browser smoke not run; missing source/reference evidence; stale or undated assumptions; missing disclaimer/limitations
5,genotype-checker-yo,Duba genotype ati blood group,/yo/awon-ise/duba-genotype/,health,Health & Wellness,live,yo,77,B,standard-grade,P3-monitor,1,Health and wellness estimator,WebMD calculators; NHS tools; Mayo Clinic references,sources,currentYear; methodology; privacyLocal; browserOk,no workflow or methodology evidence; browser smoke not run; missing source/reference evidence; missing official/verification evidence; stale or undated assumptions
6,language-translation-yo,Èdè àti Ìtumọ̀ ni Yorùbá,/yo/ede-ati-itumo/,language,Language & Translation,live,yo,77,B,standard-grade,P3-monitor,1,Language and translation utility,Google Translate; DeepL; local phrasebook sites,formControls,browserOk,weak input surface; no app/script evidence; no input path; browser smoke not run; missing official/verification evidence
7,yoruba-translator-yo,Olùfàssara Yorùbá,/yo/awon-ise/olufassara-yoruba/,language,Language & Translation,live,yo,77,B,standard-grade,P3-monitor,1,Language and translation utility,Google Translate; DeepL; local phrasebook sites,,sources; browserOk,no workflow or methodology evidence; browser smoke not run; missing source/reference evidence; missing official/verification evidence; stale or undated assumptions
8,childbirth-cost-ha,Kudin Haihuwa,/ha/kayan-aiki/kudin-haihuwa/,health,Health & Wellness,live,ha,77,B,standard-grade,P3-monitor,1,Health and wellness estimator,WebMD calculators; NHS tools; Mayo Clinic references,disclaimer; sources,browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing disclaimer/limitations; no verification panel
9,pdf-workspace-ha,Wurin Aikin PDF,/ha/kayan-aiki/wurin-aikin-pdf/,document-pdf,Document & PDF,live,ha,77,B,standard-grade,P3-monitor,1,PDF workflow utility,iLovePDF; Smallpdf; Adobe Acrobat online,,batchWorkflow; browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown
10,ng-wht-ha,Kalkuletan WHT Najeriya,/ha/kayan-aiki/wht-najeriya/,financial,"Finance, Tax & Market Data",live,ha,77,B,standard-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,disclaimer; sources; currentYear,businessCta; verificationPanel; browserOk,browser smoke not run; missing source/reference evidence; stale or undated assumptions; missing disclaimer/limitations; no verification panel
